dataset,generator,alpha1,seed,M,noise_type,noise_rate,released,base_false_count,base_uncertain_or_unlabeled_count,audited_FTR,conservative_FTR,mass_ratio,empty_reason,result_status
OVT-B,OWLv2,0.1,0,150,flip_true_to_false,0.0,0.0,0.0,0.0,0.0,0.0,0.0347132838396408,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,0,150,flip_true_to_false,0.01,0.0,0.0,0.0,0.0,0.01,0.0347132838396408,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,0,150,flip_true_to_false,0.02,0.0,0.0,0.0,0.0,0.02,0.0347132838396408,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,0,150,flip_true_to_false,0.05,0.0,0.0,0.0,0.0,0.05,0.0347132838396408,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,0,150,flip_true_to_false,0.1,0.0,0.0,0.0,0.0,0.1,0.0347132838396408,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,0,150,flip_false_to_true,0.0,0.0,0.0,0.0,0.0,0.0,0.0347132838396408,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,0,150,flip_false_to_true,0.01,0.0,0.0,0.0,0.0,0.0,0.0347132838396408,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,0,150,flip_false_to_true,0.02,0.0,0.0,0.0,0.0,0.0,0.0347132838396408,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,0,150,flip_false_to_true,0.05,0.0,0.0,0.0,0.0,0.0,0.0347132838396408,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,0,150,flip_false_to_true,0.1,0.0,0.0,0.0,0.0,0.0,0.0347132838396408,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,0,150,mark_uncertain_as_verified_positive_negative_control,0.0,0.0,0.0,0.0,0.0,0.0,0.0347132838396408,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,0,150,mark_uncertain_as_verified_positive_negative_control,0.01,0.0,0.0,0.0,0.0,0.015,0.0347132838396408,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,0,150,mark_uncertain_as_verified_positive_negative_control,0.02,0.0,0.0,0.0,0.0,0.03,0.0347132838396408,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,0,150,mark_uncertain_as_verified_positive_negative_control,0.05,0.0,0.0,0.0,0.0,0.07500000000000001,0.0347132838396408,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,0,150,mark_uncertain_as_verified_positive_negative_control,0.1,0.0,0.0,0.0,0.0,0.15000000000000002,0.0347132838396408,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,0,150,remove_verified_positives,0.0,0.0,0.0,0.0,0.0,0.0,0.0347132838396408,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,0,150,remove_verified_positives,0.01,0.0,0.0,0.0,0.0,0.003,0.0347132838396408,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,0,150,remove_verified_positives,0.02,0.0,0.0,0.0,0.0,0.006,0.0347132838396408,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,0,150,remove_verified_positives,0.05,0.0,0.0,0.0,0.0,0.015,0.0347132838396408,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,0,150,remove_verified_positives,0.1,0.0,0.0,0.0,0.0,0.03,0.0347132838396408,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,0,150,add_fake_verified_positives,0.0,0.0,0.0,0.0,0.0,0.0,0.0347132838396408,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,0,150,add_fake_verified_positives,0.01,0.0,0.0,0.0,0.0,0.02,0.0347132838396408,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,0,150,add_fake_verified_positives,0.02,0.0,0.0,0.0,0.0,0.04,0.0347132838396408,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,0,150,add_fake_verified_positives,0.05,0.0,0.0,0.0,0.0,0.1,0.0347132838396408,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,0,150,add_fake_verified_positives,0.1,0.0,0.0,0.0,0.0,0.2,0.0347132838396408,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,1,150,flip_true_to_false,0.0,0.0,0.0,0.0,0.0,0.0,0.0192456733223414,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,1,150,flip_true_to_false,0.01,0.0,0.0,0.0,0.0,0.01,0.0192456733223414,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,1,150,flip_true_to_false,0.02,0.0,0.0,0.0,0.0,0.02,0.0192456733223414,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,1,150,flip_true_to_false,0.05,0.0,0.0,0.0,0.0,0.05,0.0192456733223414,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,1,150,flip_true_to_false,0.1,0.0,0.0,0.0,0.0,0.1,0.0192456733223414,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,1,150,flip_false_to_true,0.0,0.0,0.0,0.0,0.0,0.0,0.0192456733223414,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,1,150,flip_false_to_true,0.01,0.0,0.0,0.0,0.0,0.0,0.0192456733223414,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,1,150,flip_false_to_true,0.02,0.0,0.0,0.0,0.0,0.0,0.0192456733223414,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,1,150,flip_false_to_true,0.05,0.0,0.0,0.0,0.0,0.0,0.0192456733223414,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,1,150,flip_false_to_true,0.1,0.0,0.0,0.0,0.0,0.0,0.0192456733223414,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,1,150,mark_uncertain_as_verified_positive_negative_control,0.0,0.0,0.0,0.0,0.0,0.0,0.0192456733223414,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,1,150,mark_uncertain_as_verified_positive_negative_control,0.01,0.0,0.0,0.0,0.0,0.015,0.0192456733223414,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,1,150,mark_uncertain_as_verified_positive_negative_control,0.02,0.0,0.0,0.0,0.0,0.03,0.0192456733223414,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,1,150,mark_uncertain_as_verified_positive_negative_control,0.05,0.0,0.0,0.0,0.0,0.07500000000000001,0.0192456733223414,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,1,150,mark_uncertain_as_verified_positive_negative_control,0.1,0.0,0.0,0.0,0.0,0.15000000000000002,0.0192456733223414,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,1,150,remove_verified_positives,0.0,0.0,0.0,0.0,0.0,0.0,0.0192456733223414,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,1,150,remove_verified_positives,0.01,0.0,0.0,0.0,0.0,0.003,0.0192456733223414,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,1,150,remove_verified_positives,0.02,0.0,0.0,0.0,0.0,0.006,0.0192456733223414,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,1,150,remove_verified_positives,0.05,0.0,0.0,0.0,0.0,0.015,0.0192456733223414,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,1,150,remove_verified_positives,0.1,0.0,0.0,0.0,0.0,0.03,0.0192456733223414,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,1,150,add_fake_verified_positives,0.0,0.0,0.0,0.0,0.0,0.0,0.0192456733223414,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,1,150,add_fake_verified_positives,0.01,0.0,0.0,0.0,0.0,0.02,0.0192456733223414,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,1,150,add_fake_verified_positives,0.02,0.0,0.0,0.0,0.0,0.04,0.0192456733223414,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,1,150,add_fake_verified_positives,0.05,0.0,0.0,0.0,0.0,0.1,0.0192456733223414,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
OVT-B,OWLv2,0.1,1,150,add_fake_verified_positives,0.1,0.0,0.0,0.0,0.0,0.2,0.0192456733223414,no_k_satisfies_uniform_self_consistency,derived_audit_noise_sensitivity_from_main_table
