dataset,detector,image_id,path_id,category_id,score,score_bin,frequency_bin,audit_label,verified_positive_for_calibration,audit_status,reason
LVIS,GroundingDINO,,ovtb_v47893_p002015,34,0.3141425848007202,mid,mid,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v463647_p018107,1101,0.3141354620456695,mid,tail,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v185965_p007170,330,0.3141320645809173,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v447865_p058245,781,0.3141320347785949,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v534194_p069321,676,0.3141309916973114,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v547246_p070540,1161,0.3141299784183502,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v64704_p008445,204,0.314128428697586,mid,tail,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v115237_p004299,114,0.3141274750232696,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v7772_p000939,645,0.3141253590583801,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v106296_p013894,837,0.3141227662563324,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v189820_p024777,97,0.3141224384307861,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v65306_p008261,1026,0.3141210973262787,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v282771_p036246,232,0.314120352268219,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v215481_p028757,23,0.3141191899776459,mid,tail,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v317480_p012322,617,0.3141184151172638,mid,head,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v144000_p005633,1035,0.3141180276870727,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v163457_p021254,1011,0.3141180276870727,mid,tail,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v549635_p020795,45,0.3141174018383026,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v122144_p015556,641,0.3141162097454071,mid,mid,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v445621_p017728,125,0.3141143321990967,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v421169_p054723,3,0.3141117393970489,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v527695_p068400,154,0.3141112625598907,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v508586_p065676,1202,0.3141109347343445,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v296706_p038510,1202,0.31411013007164,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v158362_p020947,461,0.3141099214553833,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v354753_p046419,1112,0.3141097724437713,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v239376_p031244,181,0.3141082525253296,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v482706_p062805,1102,0.3141082525253296,mid,tail,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v457888_p017913,80,0.3141061961650848,mid,head,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v164010_p006504,848,0.3141054809093475,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v414284_p053980,309,0.3141050934791565,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v129738_p017140,54,0.3141041696071625,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v292493_p037363,90,0.3141036331653595,mid,mid,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v515577_p020522,964,0.3141022026538849,mid,head,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v537611_p021362,1056,0.3141010105609894,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v333654_p043700,1114,0.3141005039215088,mid,tail,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v474155_p018250,194,0.3141000866889953,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v390933_p051023,45,0.3140985369682312,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v271422_p035155,29,0.3140977621078491,mid,mid,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v531647_p020551,1112,0.3140901327133178,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v129945_p016657,88,0.3140895962715149,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v343968_p045054,359,0.3140885531902313,mid,tail,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v79236_p003040,1099,0.3140880465507507,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v14477_p001693,451,0.3140850067138672,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v343634_p045008,617,0.3140838742256164,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v122584_p015630,154,0.3140803873538971,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v572536_p074391,127,0.3140777349472046,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v394529_p051456,277,0.3140773475170135,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v414010_p053489,957,0.3140763342380523,mid,tail,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v492492_p019131,118,0.3140749037265777,mid,head,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v14954_p000526,1139,0.3140735626220703,mid,mid,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v11926_p000427,1202,0.3140705227851867,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v324313_p041713,77,0.3140680491924286,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v329831_p042728,965,0.3140667378902435,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v73536_p009591,7,0.3140649795532226,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v338986_p044381,549,0.3140640258789062,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v552163_p071704,716,0.3140603601932525,mid,mid,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v72485_p003127,1044,0.3140600621700287,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v49357_p006400,653,0.3140569925308227,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v258793_p033760,766,0.3140536844730377,mid,tail,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v507881_p020177,639,0.314053326845169,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v103338_p013420,614,0.3140531480312347,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v176509_p022817,965,0.3140521645545959,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v319053_p041740,1123,0.3140507638454437,mid,tail,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v103822_p004101,1197,0.3140475749969482,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v551470_p070962,627,0.3140437602996826,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v308430_p040076,514,0.3140427768230438,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v433103_p056026,1141,0.3140426576137543,mid,tail,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v283600_p011269,58,0.3140418529510498,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v139258_p018459,536,0.3140398263931274,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v254476_p033217,1027,0.3140376508235931,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v561931_p072323,90,0.314037561416626,mid,mid,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v132499_p005257,1173,0.314036101102829,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v203926_p027451,700,0.3140344321727752,mid,tail,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v49759_p001751,429,0.3140338659286499,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v369038_p047536,964,0.314032107591629,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v208857_p027166,12,0.3140292465686798,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v541055_p069795,964,0.3140282928943634,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v183412_p023926,1186,0.3140274882316589,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v401169_p052278,1045,0.3140237331390381,mid,mid,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v162813_p006191,133,0.314020961523056,mid,mid,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v401436_p016069,501,0.3140201866626739,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v140307_p017960,828,0.3140176236629486,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v140840_p018097,611,0.3140170574188232,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v149184_p019165,617,0.3140153288841247,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v408192_p053206,1051,0.3140107691287994,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v358300_p046283,816,0.3140095770359039,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v248023_p031808,177,0.31400927901268,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v433398_p056150,828,0.3140075504779815,mid,tail,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v170893_p006564,961,0.314005970954895,mid,tail,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v36736_p001620,556,0.3140050768852234,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v42427_p005140,220,0.3140031993389129,mid,tail,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v327032_p012822,836,0.3140017986297607,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v574103_p074591,344,0.3139935433864593,mid,tail,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v513138_p019787,351,0.3139928579330444,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v49091_p006461,50,0.3139916062355041,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v4108_p000497,169,0.3139887750148773,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v437947_p057040,346,0.3139873147010803,mid,tail,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v518866_p019984,676,0.3139860033988952,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v21983_p002839,1198,0.3139843642711639,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v499915_p064778,589,0.3139843344688415,mid,mid,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v522446_p020729,133,0.3139835894107818,mid,mid,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v340535_p013432,469,0.3139816522598266,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v474465_p061512,1045,0.3139813542366028,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v469888_p061239,1122,0.3139810264110565,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v2923_p000385,118,0.3139800727367401,mid,head,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v431023_p016796,793,0.3139796555042267,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v212895_p027857,496,0.3139785826206207,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v484282_p062843,154,0.313977837562561,mid,head,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v541408_p021488,617,0.3139750957489013,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v460333_p059778,804,0.3139749467372894,mid,head,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v224112_p008789,469,0.31397345662117,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v52691_p006803,232,0.3139654397964477,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v278203_p036018,1178,0.3139581680297851,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v295478_p037849,35,0.3139574229717254,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v369757_p048380,819,0.3139538764953613,mid,tail,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v70871_p002660,676,0.3139503896236419,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v286751_p037683,776,0.313948392868042,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v435803_p056700,502,0.313947856426239,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v294565_p038058,139,0.3139446377754211,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v197864_p025757,1108,0.3139433562755584,mid,tail,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v196948_p007596,642,0.3139430582523346,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v139141_p018417,232,0.3139408826828003,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v360328_p046972,181,0.3139399886131286,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v209126_p028027,299,0.3139390647411346,mid,mid,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v271490_p010449,500,0.3139385879039764,mid,mid,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v360334_p013938,1021,0.3139374256134033,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v102718_p012978,498,0.3139367401599884,mid,mid,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v286081_p011186,804,0.3139325380325317,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v326542_p042669,965,0.3139320015907287,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v321887_p041662,943,0.3139289915561676,mid,head,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v563882_p022234,19,0.3139281570911407,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v475947_p062919,703,0.3139227628707886,mid,mid,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v289889_p038074,1019,0.31391641497612,mid,tail,,no,requires_human_review,
LVIS,GroundingDINO,,ovtb_v120905_p004800,443,0.3139162361621856,mid,tail,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v500822_p064974,45,0.3139135241508484,mid,head,,no,requires_human_review,
LVIS,OWLv2,,ovtb_v398941_p051930,653,0.3139130175113678,mid,mid,,no,requires_human_review,
