method,K,alpha,release_size,t0_FTR,t1_FTR,t1_raw_minus_method,stable_to_unstable_drift,MLIP_unstable_fraction,CHGNet_MACE_disagreement_rate,can_refuse,has_expected_FTR_certificate,uses_one_sided_null_superset,uses_denominator_self_consistency,uses_compatibility,matched_volume_boundary,method_family,target_object,evidence_scope
PARC,300,0.1,304,0.18092105263157895,0.3157894736842105,0.10646444928297921,0.19736842105263158,0.1875,0.009868421052631578,True,True,True,True,True,certified_stopping_not_matched_volume_ranking_gain,PARC,finite compatible release set,completed_t1_MLIP_empirical_baseline_frontier;capability_comparison_not_equal_target_object;not_prospective_discovery;not_matched_volume_ranking_improvement
raw top-K,300,0.1,701,0.28815977175463625,0.4222539229671897,0.0,0.2296718972895863,0.34236804564907275,0.012838801711840228,False,False,False,False,False,requested_budget_ranked_prefix_no_certificate,raw ranking,ranked prefix,completed_t1_MLIP_empirical_baseline_frontier;capability_comparison_not_equal_target_object;not_prospective_discovery;not_matched_volume_ranking_improvement
matched raw top-R,300,0.1,304,0.18092105263157895,0.3157894736842105,0.10646444928297921,0.19736842105263158,0.1875,0.009868421052631578,False,False,False,False,False,diagnostic_same_volume_prefix_not_deployable_rule,raw ranking,matched-volume diagnostic,completed_t1_MLIP_empirical_baseline_frontier;capability_comparison_not_equal_target_object;not_prospective_discovery;not_matched_volume_ranking_improvement
fixed score threshold,300,0.1,701,0.28815977175463625,0.4222539229671897,0.0,0.2296718972895863,0.34236804564907275,0.012838801711840228,False,False,False,False,False,frozen_score_cutoff_no_set_level_certificate,fixed threshold,score threshold,completed_t1_MLIP_empirical_baseline_frontier;capability_comparison_not_equal_target_object;not_prospective_discovery;not_matched_volume_ranking_improvement
split conformal threshold,300,0.1,701,0.28815977175463625,0.4222539229671897,0.0,0.2296718972895863,0.34236804564907275,0.012838801711840228,False,False,False,False,False,candidate_level_threshold_different_target,split conformal candidate threshold,candidate-level threshold,completed_t1_MLIP_empirical_baseline_frontier;capability_comparison_not_equal_target_object;not_prospective_discovery;not_matched_volume_ranking_improvement
post-filter e-value,300,0.1,417,0.22302158273381295,0.37170263788968827,0.05055128507750145,0.21103117505995203,0.26618705035971224,0.007194244604316547,False,False,True,False,False,candidate_e_value_filter_missing_SCS_denominator,post-filter e-value,candidate e-value filter,completed_t1_MLIP_empirical_baseline_frontier;capability_comparison_not_equal_target_object;not_prospective_discovery;not_matched_volume_ranking_improvement
e-BH-style selection,300,0.1,218,0.11009174311926606,0.3119266055045872,0.11032731746260255,0.21559633027522937,0.15137614678899083,0.0045871559633027525,True,False,True,False,False,e_value_multiple_testing_style_different_target,e-BH-style,e-value multiple testing style,completed_t1_MLIP_empirical_baseline_frontier;capability_comparison_not_equal_target_object;not_prospective_discovery;not_matched_volume_ranking_improvement
PARC,500,0.1,216,0.1111111111111111,0.3101851851851852,0.17680054109525145,0.21296296296296297,0.1527777777777778,0.004629629629629629,True,True,True,True,True,certified_stopping_not_matched_volume_ranking_gain,PARC,finite compatible release set,completed_t1_MLIP_empirical_baseline_frontier;capability_comparison_not_equal_target_object;not_prospective_discovery;not_matched_volume_ranking_improvement
raw top-K,500,0.1,1191,0.3602015113350126,0.4869857262804366,0.0,0.23761544920235098,0.33753148614609574,0.0109151973131822,False,False,False,False,False,requested_budget_ranked_prefix_no_certificate,raw ranking,ranked prefix,completed_t1_MLIP_empirical_baseline_frontier;capability_comparison_not_equal_target_object;not_prospective_discovery;not_matched_volume_ranking_improvement
matched raw top-R,500,0.1,216,0.1111111111111111,0.3101851851851852,0.17680054109525145,0.21296296296296297,0.1527777777777778,0.004629629629629629,False,False,False,False,False,diagnostic_same_volume_prefix_not_deployable_rule,raw ranking,matched-volume diagnostic,completed_t1_MLIP_empirical_baseline_frontier;capability_comparison_not_equal_target_object;not_prospective_discovery;not_matched_volume_ranking_improvement
fixed score threshold,500,0.1,1191,0.3602015113350126,0.4869857262804366,0.0,0.23761544920235098,0.33753148614609574,0.0109151973131822,False,False,False,False,False,frozen_score_cutoff_no_set_level_certificate,fixed threshold,score threshold,completed_t1_MLIP_empirical_baseline_frontier;capability_comparison_not_equal_target_object;not_prospective_discovery;not_matched_volume_ranking_improvement
split conformal threshold,500,0.1,1191,0.3602015113350126,0.4869857262804366,0.0,0.23761544920235098,0.33753148614609574,0.0109151973131822,False,False,False,False,False,candidate_level_threshold_different_target,split conformal candidate threshold,candidate-level threshold,completed_t1_MLIP_empirical_baseline_frontier;capability_comparison_not_equal_target_object;not_prospective_discovery;not_matched_volume_ranking_improvement
post-filter e-value,500,0.1,417,0.22302158273381295,0.37170263788968827,0.11528308839074836,0.21103117505995203,0.26618705035971224,0.007194244604316547,False,False,True,False,False,candidate_e_value_filter_missing_SCS_denominator,post-filter e-value,candidate e-value filter,completed_t1_MLIP_empirical_baseline_frontier;capability_comparison_not_equal_target_object;not_prospective_discovery;not_matched_volume_ranking_improvement
e-BH-style selection,500,0.1,162,0.06790123456790123,0.2839506172839506,0.20303510899648602,0.2222222222222222,0.09876543209876543,0.006172839506172839,True,False,True,False,False,e_value_multiple_testing_style_different_target,e-BH-style,e-value multiple testing style,completed_t1_MLIP_empirical_baseline_frontier;capability_comparison_not_equal_target_object;not_prospective_discovery;not_matched_volume_ranking_improvement
