audit_item_id,packet,intended_arm,source_audit_id,path_id,strong_model_label,strong_model_confidence,strong_model_support_score,model_positive,model_negative,model_uncertain,high_confidence_positive,human_label,human_confidence,human_review_status,human_positive,human_negative,ctc_dataset,sequence_id,frame_start,frame_end,evidence_scope
CTC-PHASE81-0001,raw_overlap_diagnostic,raw_topK_reference_overlap,CTC-AUDIT-00056,ctc_PhC-C2DH-U373_02_f053_s9_to_f054_t9,same_cell_supported,medium,0.803232,True,False,False,False,same_cell_link,high,human_confirmed,True,False,PhC-C2DH-U373,2,53,54,ctc_strong_model_calibration_against_existing_human_labels;retrospective_internal_calibration;not_external_human_audit;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0002,release_audit,parc_release_core,CTC-AUDIT-01004,ctc_Fluo-N2DL-HeLa_02_f061_s554_to_f062_t554,same_cell_supported,high,0.97107,True,False,False,True,same_cell_link,high,human_confirmed,True,False,Fluo-N2DL-HeLa,2,61,62,ctc_strong_model_calibration_against_existing_human_labels;retrospective_internal_calibration;not_external_human_audit;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0003,calibration_audit,calibration_one_sided_support_pool,CTC-AUDIT-01943,ctc_PhC-C2DH-U373_02_f109_s12_to_f110_t12,uncertain,medium,0.702111,False,False,True,False,same_cell_link,high,human_confirmed,True,False,PhC-C2DH-U373,2,109,110,ctc_strong_model_calibration_against_existing_human_labels;retrospective_internal_calibration;not_external_human_audit;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0004,release_audit,parc_release_core,CTC-AUDIT-00629,ctc_Fluo-N2DL-HeLa_02_f024_s821_to_f025_t821,same_cell_supported,high,0.964613,True,False,False,True,same_cell_link,high,human_confirmed,True,False,Fluo-N2DL-HeLa,2,24,25,ctc_strong_model_calibration_against_existing_human_labels;retrospective_internal_calibration;not_external_human_audit;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0005,release_audit,parc_release_core,CTC-AUDIT-00558,ctc_Fluo-N2DL-HeLa_02_f015_s687_to_f016_t687,same_cell_supported,high,0.970205,True,False,False,True,same_cell_link,high,human_confirmed,True,False,Fluo-N2DL-HeLa,2,15,16,ctc_strong_model_calibration_against_existing_human_labels;retrospective_internal_calibration;not_external_human_audit;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0006,calibration_audit,calibration_one_sided_support_pool,CTC-AUDIT-01299,ctc_Fluo-N2DL-HeLa_02_f067_s838_to_f068_t838,same_cell_supported,high,0.925058,True,False,False,True,same_cell_link,high,human_confirmed,True,False,Fluo-N2DL-HeLa,2,67,68,ctc_strong_model_calibration_against_existing_human_labels;retrospective_internal_calibration;not_external_human_audit;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0007,release_audit,parc_release_core,CTC-AUDIT-00511,ctc_Fluo-N2DL-HeLa_02_f009_s420_to_f010_t420,same_cell_supported,high,0.954077,True,False,False,True,same_cell_link,high,human_confirmed,True,False,Fluo-N2DL-HeLa,2,9,10,ctc_strong_model_calibration_against_existing_human_labels;retrospective_internal_calibration;not_external_human_audit;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0008,release_audit,parc_release_core,CTC-AUDIT-00937,ctc_Fluo-N2DL-HeLa_02_f044_s871_to_f045_t871,same_cell_supported,high,0.963314,True,False,False,True,same_cell_link,high,human_confirmed,True,False,Fluo-N2DL-HeLa,2,44,45,ctc_strong_model_calibration_against_existing_human_labels;retrospective_internal_calibration;not_external_human_audit;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0009,release_audit,parc_release_core,CTC-AUDIT-01035,ctc_Fluo-N2DL-HeLa_02_f034_s401_to_f035_t401,same_cell_supported,high,0.907249,True,False,False,True,same_cell_link,high,human_confirmed,True,False,Fluo-N2DL-HeLa,2,34,35,ctc_strong_model_calibration_against_existing_human_labels;retrospective_internal_calibration;not_external_human_audit;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0010,raw_overlap_diagnostic,raw_topK_reference_overlap,CTC-AUDIT-00175,ctc_PhC-C2DH-U373_02_f016_s4_to_f017_t4,same_cell_supported,high,0.962049,True,False,False,True,same_cell_link,high,human_confirmed,True,False,PhC-C2DH-U373,2,16,17,ctc_strong_model_calibration_against_existing_human_labels;retrospective_internal_calibration;not_external_human_audit;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
