video_id,split,num_detections,num_paths,num_unmatched_paths,num_verified_positive_paths,num_null_paths,has_null_block
0,cal,147,31,1,0,1,True
1,test,145,70,30,0,30,True
2,test,216,66,5,0,5,True
3,cal,208,60,3,0,3,True
4,tune,46,10,2,0,2,True
5,test,90,33,4,0,4,True
6,cal,114,58,6,0,6,True
7,cal,92,34,0,0,0,False
8,test,90,36,1,0,1,True
9,test,80,28,5,1,4,True
10,cal,162,65,0,0,0,False
11,cal,128,41,2,0,2,True
12,test,42,36,4,0,4,True
13,tune,154,103,19,2,17,True
14,test,68,55,0,0,0,False
15,cal,152,33,1,0,1,True
16,cal,73,30,3,1,2,True
17,test,120,35,0,0,0,False
18,test,184,41,1,0,1,True
19,cal,65,35,3,0,3,True
20,cal,146,34,2,0,2,True
21,test,82,24,3,0,3,True
22,test,144,49,2,0,2,True
23,cal,66,22,3,0,3,True
24,test,238,68,8,1,7,True
25,cal,192,55,9,0,9,True
26,test,200,99,4,0,4,True
27,cal,89,32,3,0,3,True
28,test,161,69,4,0,4,True
29,test,240,208,40,0,40,True
30,test,118,89,14,0,14,True
31,test,14,11,0,0,0,False
32,cal,240,114,12,1,11,True
33,test,223,188,53,2,51,True
34,cal,32,26,9,1,8,True
35,test,201,148,8,0,8,True
36,test,163,87,24,2,22,True
37,tune,127,45,4,1,3,True
38,test,92,63,50,0,50,True
39,cal,131,72,23,0,23,True
40,test,60,40,25,3,22,True
41,test,122,59,10,0,10,True
42,cal,80,72,18,0,18,True
43,cal,133,43,4,0,4,True
44,test,27,7,2,2,0,False
45,cal,34,8,2,1,1,True
46,test,12,6,4,1,3,True
47,tune,12,2,1,1,0,False
48,test,21,11,5,0,5,True
49,tune,19,7,2,1,1,True
50,cal,24,4,1,1,0,False
51,cal,29,4,0,0,0,False
52,tune,31,13,7,0,7,True
53,cal,30,20,17,6,11,True
54,cal,13,3,1,1,0,False
55,cal,20,7,3,1,2,True
56,cal,9,6,5,0,5,True
57,test,20,7,3,1,2,True
58,cal,10,6,2,0,2,True
59,cal,18,4,3,0,3,True
60,test,25,4,0,0,0,False
61,cal,26,5,3,2,1,True
62,cal,33,5,1,0,1,True
63,cal,55,13,3,0,3,True
64,test,19,5,3,0,3,True
65,cal,15,5,2,0,2,True
66,test,18,6,3,0,3,True
