intended_arm,ai_label,rows,evidence_scope
calibration_one_sided_support_pool,same_cell_supported,142,ctc_ai_preannotation_for_human_review;ai_assistive_labels_only;geometry_only_no_arm_score_rank_or_prior_label_inputs;human_review_pending;not_completed_positive_evidence;not_CTC_ground_truth;not_materials_or_DFT_evidence
calibration_one_sided_support_pool,uncertain,5,ctc_ai_preannotation_for_human_review;ai_assistive_labels_only;geometry_only_no_arm_score_rank_or_prior_label_inputs;human_review_pending;not_completed_positive_evidence;not_CTC_ground_truth;not_materials_or_DFT_evidence
calibration_one_sided_support_pool,unsupported,3,ctc_ai_preannotation_for_human_review;ai_assistive_labels_only;geometry_only_no_arm_score_rank_or_prior_label_inputs;human_review_pending;not_completed_positive_evidence;not_CTC_ground_truth;not_materials_or_DFT_evidence
hard_negative_or_uncertain_control,uncertain,2,ctc_ai_preannotation_for_human_review;ai_assistive_labels_only;geometry_only_no_arm_score_rank_or_prior_label_inputs;human_review_pending;not_completed_positive_evidence;not_CTC_ground_truth;not_materials_or_DFT_evidence
hard_negative_or_uncertain_control,unsupported,43,ctc_ai_preannotation_for_human_review;ai_assistive_labels_only;geometry_only_no_arm_score_rank_or_prior_label_inputs;human_review_pending;not_completed_positive_evidence;not_CTC_ground_truth;not_materials_or_DFT_evidence
parc_release_core,same_cell_supported,250,ctc_ai_preannotation_for_human_review;ai_assistive_labels_only;geometry_only_no_arm_score_rank_or_prior_label_inputs;human_review_pending;not_completed_positive_evidence;not_CTC_ground_truth;not_materials_or_DFT_evidence
random_blind_control_from_available_reviewed_rows,same_cell_supported,54,ctc_ai_preannotation_for_human_review;ai_assistive_labels_only;geometry_only_no_arm_score_rank_or_prior_label_inputs;human_review_pending;not_completed_positive_evidence;not_CTC_ground_truth;not_materials_or_DFT_evidence
random_blind_control_from_available_reviewed_rows,unsupported,1,ctc_ai_preannotation_for_human_review;ai_assistive_labels_only;geometry_only_no_arm_score_rank_or_prior_label_inputs;human_review_pending;not_completed_positive_evidence;not_CTC_ground_truth;not_materials_or_DFT_evidence
raw_topK_reference_overlap,same_cell_supported,99,ctc_ai_preannotation_for_human_review;ai_assistive_labels_only;geometry_only_no_arm_score_rank_or_prior_label_inputs;human_review_pending;not_completed_positive_evidence;not_CTC_ground_truth;not_materials_or_DFT_evidence
raw_topK_reference_overlap,uncertain,1,ctc_ai_preannotation_for_human_review;ai_assistive_labels_only;geometry_only_no_arm_score_rank_or_prior_label_inputs;human_review_pending;not_completed_positive_evidence;not_CTC_ground_truth;not_materials_or_DFT_evidence
