audit_item_id,ctc_dataset,sequence_id,frame_start,frame_end,source_image_path,source_frame_index,source_bbox_x,source_bbox_y,source_bbox_w,source_bbox_h,target_image_path,target_frame_index,target_bbox_x,target_bbox_y,target_bbox_w,target_bbox_h,ai_label,ai_confidence,ai_support_score,ai_reason,human_label,human_confidence,human_notes,human_accepts_ai_label
CTC-PHASE81-0002,Fluo-N2DL-HeLa,2,61,62,Fluo-N2DL-HeLa/02/t061,61,775,72,5,5,Fluo-N2DL-HeLa/02/t062,62,775,72,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0004,Fluo-N2DL-HeLa,2,24,25,Fluo-N2DL-HeLa/02/t024,24,699,644,5,5,Fluo-N2DL-HeLa/02/t025,25,699,644,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0005,Fluo-N2DL-HeLa,2,15,16,Fluo-N2DL-HeLa/02/t015,15,759,380,5,5,Fluo-N2DL-HeLa/02/t016,16,759,380,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0007,Fluo-N2DL-HeLa,2,9,10,Fluo-N2DL-HeLa/02/t009,9,580,386,5,5,Fluo-N2DL-HeLa/02/t010,10,580,386,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0008,Fluo-N2DL-HeLa,2,44,45,Fluo-N2DL-HeLa/02/t044,44,929,659,5,5,Fluo-N2DL-HeLa/02/t045,45,929,659,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0009,Fluo-N2DL-HeLa,2,34,35,Fluo-N2DL-HeLa/02/t034,34,620,173,5,5,Fluo-N2DL-HeLa/02/t035,35,620,173,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0015,Fluo-N2DL-HeLa,2,43,44,Fluo-N2DL-HeLa/02/t043,43,772,77,5,5,Fluo-N2DL-HeLa/02/t044,44,772,77,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0017,Fluo-N2DL-HeLa,2,48,49,Fluo-N2DL-HeLa/02/t048,48,803,653,5,5,Fluo-N2DL-HeLa/02/t049,49,803,653,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0022,Fluo-N2DL-HeLa,2,11,12,Fluo-N2DL-HeLa/02/t011,11,646,129,5,5,Fluo-N2DL-HeLa/02/t012,12,646,129,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0023,Fluo-N2DL-HeLa,2,48,49,Fluo-N2DL-HeLa/02/t048,48,607,331,5,5,Fluo-N2DL-HeLa/02/t049,49,607,331,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0027,Fluo-N2DL-HeLa,2,36,37,Fluo-N2DL-HeLa/02/t036,36,570,249,5,5,Fluo-N2DL-HeLa/02/t037,37,570,249,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0030,Fluo-N2DL-HeLa,2,39,40,Fluo-N2DL-HeLa/02/t039,39,635,214,5,5,Fluo-N2DL-HeLa/02/t040,40,635,214,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0031,Fluo-N2DL-HeLa,2,50,51,Fluo-N2DL-HeLa/02/t050,50,774,76,5,5,Fluo-N2DL-HeLa/02/t051,51,774,76,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0036,PhC-C2DH-U373,2,19,20,PhC-C2DH-U373/02/t019,19,597,449,11,11,PhC-C2DH-U373/02/t020,20,597,449,11,11,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0037,Fluo-N2DL-HeLa,2,30,31,Fluo-N2DL-HeLa/02/t030,30,623,101,5,5,Fluo-N2DL-HeLa/02/t031,31,623,101,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0039,Fluo-N2DL-HeLa,2,16,17,Fluo-N2DL-HeLa/02/t016,16,581,89,5,5,Fluo-N2DL-HeLa/02/t017,17,581,89,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0041,Fluo-N2DL-HeLa,2,46,47,Fluo-N2DL-HeLa/02/t046,46,923,659,5,5,Fluo-N2DL-HeLa/02/t047,47,923,659,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0044,Fluo-N2DL-HeLa,2,46,47,Fluo-N2DL-HeLa/02/t046,46,678,667,5,5,Fluo-N2DL-HeLa/02/t047,47,678,667,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0048,Fluo-N2DL-HeLa,2,18,19,Fluo-N2DL-HeLa/02/t018,18,759,381,5,5,Fluo-N2DL-HeLa/02/t019,19,759,381,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0051,Fluo-N2DL-HeLa,2,48,49,Fluo-N2DL-HeLa/02/t048,48,813,457,5,5,Fluo-N2DL-HeLa/02/t049,49,813,457,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0052,PhC-C2DH-U373,2,72,73,PhC-C2DH-U373/02/t072,72,73,246,9,9,PhC-C2DH-U373/02/t073,73,73,246,9,9,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0053,Fluo-N2DL-HeLa,2,27,28,Fluo-N2DL-HeLa/02/t027,27,754,94,5,5,Fluo-N2DL-HeLa/02/t028,28,754,94,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0055,Fluo-N2DL-HeLa,2,31,32,Fluo-N2DL-HeLa/02/t031,31,870,459,5,5,Fluo-N2DL-HeLa/02/t032,32,870,459,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0056,Fluo-N2DL-HeLa,2,27,28,Fluo-N2DL-HeLa/02/t027,27,685,68,5,5,Fluo-N2DL-HeLa/02/t028,28,685,68,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0061,Fluo-N2DL-HeLa,2,24,25,Fluo-N2DL-HeLa/02/t024,24,771,562,5,5,Fluo-N2DL-HeLa/02/t025,25,771,562,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0062,Fluo-N2DL-HeLa,2,34,35,Fluo-N2DL-HeLa/02/t034,34,546,200,5,5,Fluo-N2DL-HeLa/02/t035,35,546,200,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0064,Fluo-N2DL-HeLa,2,52,53,Fluo-N2DL-HeLa/02/t052,52,566,254,5,5,Fluo-N2DL-HeLa/02/t053,53,566,254,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0065,Fluo-N2DL-HeLa,2,27,28,Fluo-N2DL-HeLa/02/t027,27,619,98,5,5,Fluo-N2DL-HeLa/02/t028,28,619,98,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0066,Fluo-N2DL-HeLa,2,4,5,Fluo-N2DL-HeLa/02/t004,4,567,104,5,5,Fluo-N2DL-HeLa/02/t005,5,567,104,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0069,Fluo-N2DL-HeLa,2,18,19,Fluo-N2DL-HeLa/02/t018,18,761,59,5,5,Fluo-N2DL-HeLa/02/t019,19,761,59,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0070,Fluo-N2DL-HeLa,2,18,19,Fluo-N2DL-HeLa/02/t018,18,915,340,5,5,Fluo-N2DL-HeLa/02/t019,19,915,340,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0073,Fluo-N2DL-HeLa,2,33,34,Fluo-N2DL-HeLa/02/t033,33,686,68,5,5,Fluo-N2DL-HeLa/02/t034,34,686,68,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0075,PhC-C2DH-U373,2,30,31,PhC-C2DH-U373/02/t030,30,185,180,11,11,PhC-C2DH-U373/02/t031,31,185,180,11,11,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0078,Fluo-N2DL-HeLa,2,39,40,Fluo-N2DL-HeLa/02/t039,39,680,351,5,5,Fluo-N2DL-HeLa/02/t040,40,680,351,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0081,Fluo-N2DL-HeLa,2,8,9,Fluo-N2DL-HeLa/02/t008,8,764,62,5,5,Fluo-N2DL-HeLa/02/t009,9,764,62,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0083,Fluo-N2DL-HeLa,2,31,32,Fluo-N2DL-HeLa/02/t031,31,721,328,5,5,Fluo-N2DL-HeLa/02/t032,32,721,328,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0084,Fluo-N2DL-HeLa,2,31,32,Fluo-N2DL-HeLa/02/t031,31,686,68,5,5,Fluo-N2DL-HeLa/02/t032,32,686,68,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0088,Fluo-N2DL-HeLa,2,30,31,Fluo-N2DL-HeLa/02/t030,30,833,324,5,5,Fluo-N2DL-HeLa/02/t031,31,833,324,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0090,Fluo-N2DL-HeLa,2,27,28,Fluo-N2DL-HeLa/02/t027,27,410,337,5,5,Fluo-N2DL-HeLa/02/t028,28,410,337,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0091,PhC-C2DH-U373,2,104,105,PhC-C2DH-U373/02/t104,104,603,170,9,9,PhC-C2DH-U373/02/t105,105,603,170,9,9,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0093,Fluo-N2DL-HeLa,2,32,33,Fluo-N2DL-HeLa/02/t032,32,694,412,5,5,Fluo-N2DL-HeLa/02/t033,33,694,412,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
