dataset,video_id,path_id,query,category_id,score,candidate_rank,is_matched_to_gt,matched_iou,label,reason,auditor,confidence,review_status,verified_positive_for_calibration
OVT-B,69,ovtb_v69_p004525,giant panda,405,0.8433939576148987,80,False,0.2947396229230009,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,1583,ovtb_v1583_p034019,bird,93,0.8708337664604187,45,False,0.2191849548315586,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,99,ovtb_v99_p005059,bear,70,0.8145921031634012,134,False,0.4988830788835125,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,571,ovtb_v571_p014254,magpie,559,0.907786786556244,14,False,0.0,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,136,ovtb_v136_p005715,snow leopard,847,0.9019665718078612,20,False,0.1733957153496534,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,717,ovtb_v717_p017044,protractor,725,0.9237845912575722,7,True,0.7206962995929082,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,725,ovtb_v725_p017124,bird,93,0.868431881070137,49,True,0.5234171967304807,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,550,ovtb_v550_p013803,raccoon,740,0.8211341947317123,123,True,0.570721598632455,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,1530,ovtb_v1530_p032916,cone,242,0.8257564306259155,116,False,0.0,actually_true,small_or_single_frame_object_supported_by_user_prior_review,human_visual_audit_v2_user_review_aware,medium,reviewed,yes
OVT-B,1682,ovtb_v1682_p035843,megaphone,583,0.8646046072244644,56,True,0.6746323087041735,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,888,ovtb_v888_p020674,pocket watch,698,0.8153744265437126,132,True,0.5639779126617094,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,647,ovtb_v647_p015735,magpie,559,0.9033904820680618,17,False,0.5461168623292708,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,1045,ovtb_v1045_p023902,earring,327,0.846505880355835,74,False,0.0,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
OVT-B,1530,ovtb_v1530_p032918,cone,242,0.8220324516296387,122,False,0.0,actually_true,small_or_single_frame_object_supported_by_user_prior_review,human_visual_audit_v2_user_review_aware,medium,reviewed,yes
OVT-B,108,ovtb_v108_p005208,elephant,341,0.8245053440332413,119,False,0.4167642868939629,actually_true,visual_track_matches_query,human_visual_audit_v2_user_review_aware,high,reviewed,yes
