method,one_sided_validity,can_release,can_refuse,can_acquire_audit,can_expire_certificate,can_recertify,has_release_card,handles_reference_drift,capability_note,evidence_scope
PARC lifecycle,True,True,True,True,True,True,True,True,release/refusal/active-audit/versioned-recertification lifecycle,PARC_lifecycle_calculus;synthesis_of_completed_artifacts;not_new_empirical_claim;not_DFT_evidence;not_prospective_materials_discovery
PARC core,True,True,True,False,False,False,True,False,single-version release/refusal certificate,PARC_lifecycle_calculus;synthesis_of_completed_artifacts;not_new_empirical_claim;not_DFT_evidence;not_prospective_materials_discovery
PARC-A,True,True,True,True,False,False,True,False,verification-budgeted release acquisition,PARC_lifecycle_calculus;synthesis_of_completed_artifacts;not_new_empirical_claim;not_DFT_evidence;not_prospective_materials_discovery
PARC-D,True,False,False,False,True,False,True,True,"durability-risk triage, not full alpha certificate",PARC_lifecycle_calculus;synthesis_of_completed_artifacts;not_new_empirical_claim;not_DFT_evidence;not_prospective_materials_discovery
e-BH selection,False,True,False,False,False,False,False,False,selection procedure without release-card lifecycle,PARC_lifecycle_calculus;synthesis_of_completed_artifacts;not_new_empirical_claim;not_DFT_evidence;not_prospective_materials_discovery
raw top-K,False,True,False,False,False,False,False,False,ranking baseline only,PARC_lifecycle_calculus;synthesis_of_completed_artifacts;not_new_empirical_claim;not_DFT_evidence;not_prospective_materials_discovery
score threshold,False,True,True,False,False,False,False,False,thresholding without null-superset evidence construction,PARC_lifecycle_calculus;synthesis_of_completed_artifacts;not_new_empirical_claim;not_DFT_evidence;not_prospective_materials_discovery
split conformal threshold,False,True,True,False,False,False,False,False,"different target object, no lifecycle recertification",PARC_lifecycle_calculus;synthesis_of_completed_artifacts;not_new_empirical_claim;not_DFT_evidence;not_prospective_materials_discovery
post-filter e-value,True,True,False,False,False,False,False,False,valid scores alone without SCS/lifecycle,PARC_lifecycle_calculus;synthesis_of_completed_artifacts;not_new_empirical_claim;not_DFT_evidence;not_prospective_materials_discovery
PU classifier-release,False,True,False,False,False,False,False,False,"classifier baseline, not release-card calculus",PARC_lifecycle_calculus;synthesis_of_completed_artifacts;not_new_empirical_claim;not_DFT_evidence;not_prospective_materials_discovery
