blinded_item_id,domain,dataset,task,candidate_unit,asset_ref,context_ref,audit_question,external_label,external_uncertain_reason,external_confidence,external_reviewer_id,external_review_timestamp
EXTAUD-00001,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l57_img3249_d001_animal,location=57 video=5701 frame=48,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00002,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l105_img5927_d001_animal,location=105 video=10503 frame=126,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00003,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l3_img358_d001_animal,location=3 video=303 frame=157,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00004,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l3_img347_d001_animal,location=3 video=303 frame=146,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00005,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l218_img2335_d001_animal,location=218 video=21803 frame=134,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00006,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::6597->6597::80cc7d2a3f031851->80cc7d2a3f031851,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00007,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l526_img4911_d001_animal,location=526 video=52602 frame=110,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00008,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::4565->4565::69c14e4afd8762e8->69c14e4afd8762e8,aoi=L15-0760E-0887N_3041_4643_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00009,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l449_img4160_d001_animal,location=449 video=44903 frame=159,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00010,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::6433->6433::aa5e10f5da91701e->aa5e10f5da91701e,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
