video_id,split,num_detections,num_paths,num_unmatched_paths,num_verified_positive_paths,num_null_paths,has_null_block
0,test,20,15,6,0,6,True
1,cal,28,15,2,0,2,True
3,test,23,7,1,0,1,True
7,test,33,21,6,0,6,True
9,test,8,8,0,0,0,False
11,cal,24,18,6,0,6,True
13,test,39,10,5,0,5,True
16,cal,13,8,0,0,0,False
38,cal,15,6,0,0,0,False
40,test,17,7,1,0,1,True
47,cal,18,8,3,0,3,True
50,cal,22,12,1,0,1,True
51,cal,19,7,2,0,2,True
67,cal,15,8,4,0,4,True
69,cal,19,6,3,0,3,True
71,test,9,5,0,0,0,False
72,test,14,4,1,0,1,True
79,cal,11,3,1,0,1,True
85,test,32,15,7,0,7,True
92,tune,26,11,2,0,2,True
114,test,22,19,13,0,13,True
117,cal,19,8,1,0,1,True
119,cal,27,9,2,0,2,True
121,tune,24,20,4,0,4,True
134,cal,18,8,5,0,5,True
144,test,27,6,2,0,2,True
146,cal,29,23,11,0,11,True
152,test,12,3,1,0,1,True
157,test,17,12,2,0,2,True
158,test,59,13,8,0,8,True
160,test,24,7,0,0,0,False
170,cal,29,10,0,0,0,False
183,cal,20,3,1,0,1,True
184,test,21,5,0,0,0,False
189,test,8,2,0,0,0,False
201,cal,26,9,4,0,4,True
203,test,25,15,7,0,7,True
208,cal,12,7,4,0,4,True
212,test,42,29,18,1,17,True
214,cal,12,5,1,0,1,True
220,test,21,18,13,0,13,True
221,test,37,25,11,0,11,True
237,cal,10,5,1,0,1,True
239,cal,23,8,6,0,6,True
245,test,24,14,6,0,6,True
261,cal,31,7,6,0,6,True
274,test,25,5,0,0,0,False
275,cal,26,11,1,0,1,True
279,test,46,10,7,0,7,True
282,tune,9,4,0,0,0,False
284,cal,25,6,0,0,0,False
300,tune,18,4,1,0,1,True
301,cal,21,10,0,0,0,False
302,cal,8,4,1,0,1,True
303,test,48,13,5,1,4,True
310,cal,34,9,1,0,1,True
324,test,4,4,2,0,2,True
330,cal,16,8,1,0,1,True
333,tune,17,14,1,0,1,True
346,cal,15,5,1,0,1,True
