result,lead_number,source_artifact,claim_scope
MP-Alex exact-structure discordance atlas,43139 strict matches; 5060 exact-stability disagreements; rate 0.1173,outputs/milestones/materials_label_source_discordance_atlas/table_mp_alex_discordance_atlas_summary.csv,benchmark reliability / source uncertainty
verified-positive contamination grid,1200 seed rows; 60 summary rows; 5 target rows; 6 epsilon values; 2 modes,outputs/milestones/verification_assumption_sensitivity/table_verified_positive_contamination_sensitivity_summary.csv,assumption-boundary diagnostic
active audit budget frontier,5 target rows; 20 seeds; 4 audit policies; 7 audit budgets,outputs/milestones/audit_budget_release_frontier/table_audit_budget_frontier_summary.csv,completed simulated-audit release/refusal frontier
audit budget strict transition package,CTC K=100/K=300 strict seed-stable transition at 0.5% top-score audit budget; random reaches at 100% in extended grid,outputs/milestones/audit_budget_release_frontier_headline/table_audit_budget_transition_primary.csv,paper-facing transition package with materials rows scoped as boundary/secondary
active audit strong positive gate,CTC K=100: 0.5% top-score audit gives 20/20 nonempty safe seeds and zero false releases; matched-budget random releases 0/20; full random audit is 200x larger,outputs/milestones/audit_budget_frontier_strong_positive/table_strong_positive_gate_audit.csv,primary strong-positive simulated-audit result for CTC only
NMI reviewer P0 hardening package,P0 gap/action matrix; audit CP/Wilson/Jeffreys intervals; baseline target-object map; assumption diagnostics map; refusal attribution table,outputs/milestones/nmi_reviewer_p0_hardening/table_p0_reviewer_gap_action_matrix.csv,reviewer-facing aggregation; no new prospective materials evidence
NMI maintext evidence package,Only primary headline row is CTC K=100 active-audit strong-positive gate; materials audit rows scoped as boundary; P0 gaps retained,outputs/milestones/nmi_maintext_evidence_package/table_headline_evidence_hierarchy.csv,paper-facing claim sentences and figure sources; no new prospective materials evidence
LLM release-agent stress test,"protocol, prompt templates, parser schema, task manifest, and model run manifest frozen; credentials blocked",outputs/milestones/llm_release_agent_stress_test/model_run_manifest.csv,protocol scaffold only; no positive LLM evidence
minimal materials label-discordance probe,matched_n >= 200 and discordance >= 0.40 in the preregistered minimal probe,outputs/milestones/materials_label_discordance_preregistration/table_minimal_discordance_probe.csv,preregistration/probe only; not final MP-Alex headline
selection-conditional discordance hypothesis B,n_common 287; baseline discordance 0.1080; models_supporting_rule 0; NO-GO,outputs/milestones/materials_selection_conditional_discordance/table_selection_conditional_go_no_go.csv,completed no-go diagnostic
source-uncertainty overlay,ALIGNN K=300/500 exact-match-only overlay summary completed,outputs/milestones/materials_queue_source_uncertainty_overlay/table_materials_queue_overlay_summary.csv,diagnostic only; not validation
external blind audit packet,484 blinded items frozen; labels pending,outputs/milestones/external_blind_audit_packet/table_external_blind_audit_packet_summary.csv,packet only until labels return
