dataset,generator,alpha1,seed,M,score_transform,transform_type,released,conservative_FTR,mass_ratio,empty_reason,result_status
OVT-B,OWLv2,0.1,0,150,temperature_scaling,rank_preserving,0.0,0.0,0.0347132838396408,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,OWLv2,0.1,0,150,rank_preserving_monotonic_transform,rank_preserving,0.0,0.0,0.0347132838396408,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,OWLv2,0.1,0,150,random_score_noise,rank_perturbing,0.0,0.0,0.027770627071712642,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,OWLv2,0.1,0,150,adversarial_high_score_false_tracks,adversarial,0.0,0.0,0.01562097772783836,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,OWLv2,0.1,0,150,score_clipping,rank_compressing,0.0,0.0,0.024299298687748556,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,OWLv2,0.1,1,150,temperature_scaling,rank_preserving,0.0,0.0,0.0192456733223414,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,OWLv2,0.1,1,150,rank_preserving_monotonic_transform,rank_preserving,0.0,0.0,0.0192456733223414,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,OWLv2,0.1,1,150,random_score_noise,rank_perturbing,0.0,0.0,0.015396538657873122,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,OWLv2,0.1,1,150,adversarial_high_score_false_tracks,adversarial,0.0,0.0,0.008660552995053632,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,OWLv2,0.1,1,150,score_clipping,rank_compressing,0.0,0.0,0.01347197132563898,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,OWLv2,0.1,2,150,temperature_scaling,rank_preserving,0.0,0.0,0.0348655406041717,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,OWLv2,0.1,2,150,rank_preserving_monotonic_transform,rank_preserving,0.0,0.0,0.0348655406041717,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,OWLv2,0.1,2,150,random_score_noise,rank_perturbing,0.0,0.0,0.02789243248333736,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,OWLv2,0.1,2,150,adversarial_high_score_false_tracks,adversarial,0.0,0.0,0.015689493271877266,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,OWLv2,0.1,2,150,score_clipping,rank_compressing,0.0,0.0,0.024405878422920187,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,OWLv2,0.1,0,150,temperature_scaling,rank_preserving,0.0,0.0,0.0251878412257681,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,OWLv2,0.1,0,150,rank_preserving_monotonic_transform,rank_preserving,0.0,0.0,0.0251878412257681,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,OWLv2,0.1,0,150,random_score_noise,rank_perturbing,0.0,0.0,0.020150272980614482,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,OWLv2,0.1,0,150,adversarial_high_score_false_tracks,adversarial,0.0,0.0,0.011334528551595646,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,OWLv2,0.1,0,150,score_clipping,rank_compressing,0.0,0.0,0.01763148885803767,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,OWLv2,0.1,1,150,temperature_scaling,rank_preserving,0.0,0.0,0.0251559290221353,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,OWLv2,0.1,1,150,rank_preserving_monotonic_transform,rank_preserving,0.0,0.0,0.0251559290221353,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,OWLv2,0.1,1,150,random_score_noise,rank_perturbing,0.0,0.0,0.02012474321770824,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,OWLv2,0.1,1,150,adversarial_high_score_false_tracks,adversarial,0.0,0.0,0.011320168059960885,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,OWLv2,0.1,1,150,score_clipping,rank_compressing,0.0,0.0,0.01760915031549471,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,OWLv2,0.1,2,150,temperature_scaling,rank_preserving,0.0,0.0,0.0251240107974674,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,OWLv2,0.1,2,150,rank_preserving_monotonic_transform,rank_preserving,0.0,0.0,0.0251240107974674,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,OWLv2,0.1,2,150,random_score_noise,rank_perturbing,0.0,0.0,0.02009920863797392,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,OWLv2,0.1,2,150,adversarial_high_score_false_tracks,adversarial,0.0,0.0,0.011305804858860331,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,OWLv2,0.1,2,150,score_clipping,rank_compressing,0.0,0.0,0.01758680755822718,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,OWL-ViT v1,0.1,0,150,temperature_scaling,rank_preserving,0.0,0.0,0.0026593762559245,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,OWL-ViT v1,0.1,0,150,rank_preserving_monotonic_transform,rank_preserving,0.0,0.0,0.0026593762559245,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,OWL-ViT v1,0.1,0,150,random_score_noise,rank_perturbing,0.0,0.0,0.0021275010047396,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,OWL-ViT v1,0.1,0,150,adversarial_high_score_false_tracks,adversarial,0.0,0.0,0.0011967193151660252,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,OWL-ViT v1,0.1,0,150,score_clipping,rank_compressing,0.0,0.0,0.00186156337914715,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,OWL-ViT v1,0.1,1,150,temperature_scaling,rank_preserving,0.0,0.0,0.0025620321005338,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,OWL-ViT v1,0.1,1,150,rank_preserving_monotonic_transform,rank_preserving,0.0,0.0,0.0025620321005338,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,OWL-ViT v1,0.1,1,150,random_score_noise,rank_perturbing,0.0,0.0,0.00204962568042704,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,OWL-ViT v1,0.1,1,150,adversarial_high_score_false_tracks,adversarial,0.0,0.0,0.00115291444524021,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,OWL-ViT v1,0.1,1,150,score_clipping,rank_compressing,0.0,0.0,0.00179342247037366,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,OWL-ViT v1,0.1,2,150,temperature_scaling,rank_preserving,0.0,0.0,0.0015772990392313,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,OWL-ViT v1,0.1,2,150,rank_preserving_monotonic_transform,rank_preserving,0.0,0.0,0.0015772990392313,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,OWL-ViT v1,0.1,2,150,random_score_noise,rank_perturbing,0.0,0.0,0.00126183923138504,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,OWL-ViT v1,0.1,2,150,adversarial_high_score_false_tracks,adversarial,0.0,0.0,0.000709784567654085,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
OVT-B,OWL-ViT v1,0.1,2,150,score_clipping,rank_compressing,0.0,0.0,0.0011041093274619098,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,OWL-ViT v1,0.1,0,150,temperature_scaling,rank_preserving,0.0,0.0,0.0020608227618976,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,OWL-ViT v1,0.1,0,150,rank_preserving_monotonic_transform,rank_preserving,0.0,0.0,0.0020608227618976,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,OWL-ViT v1,0.1,0,150,random_score_noise,rank_perturbing,0.0,0.0,0.00164865820951808,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,OWL-ViT v1,0.1,0,150,adversarial_high_score_false_tracks,adversarial,0.0,0.0,0.0009273702428539201,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,OWL-ViT v1,0.1,0,150,score_clipping,rank_compressing,0.0,0.0,0.00144257593332832,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,OWL-ViT v1,0.1,1,150,temperature_scaling,rank_preserving,0.0,0.0,0.0022139982858059,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,OWL-ViT v1,0.1,1,150,rank_preserving_monotonic_transform,rank_preserving,0.0,0.0,0.0022139982858059,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,OWL-ViT v1,0.1,1,150,random_score_noise,rank_perturbing,0.0,0.0,0.00177119862864472,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,OWL-ViT v1,0.1,1,150,adversarial_high_score_false_tracks,adversarial,0.0,0.0,0.000996299228612655,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,OWL-ViT v1,0.1,1,150,score_clipping,rank_compressing,0.0,0.0,0.0015497988000641298,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,OWL-ViT v1,0.1,2,150,temperature_scaling,rank_preserving,0.0,0.0,0.0020608227618976,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,OWL-ViT v1,0.1,2,150,rank_preserving_monotonic_transform,rank_preserving,0.0,0.0,0.0020608227618976,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
TAO,OWL-ViT v1,0.1,2,150,random_score_noise,rank_perturbing,0.0,0.0,0.00164865820951808,safe_refusal_after_score_miscalibration,derived_score_miscalibration_sensitivity_from_main_table
