claim_uid,material_id,gnome_reduced_formula,gnome_chemical_system,gnome_n_sites,mp_chemsys,mp_formula_pretty,mp_material_id,mp_nsites,mp_symmetry_number,mp_symmetry_symbol,exact_reduced_formula_match,formula_prefilter_only,structure_matching_completed,current_stability_verdict_reported,evidence_scope
gnome_public_stable_materials::000006a8c4,000006a8c4,Cs(ZrS2)3,Cs-S-Zr,10,Cs-S-Zr,Cs4Zr3S14,mp-680246,42,15,C2/c,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::0001c050a9,0001c050a9,Ho6N5,Ho-N,11,Ho-N,Ho2N3,mp-1201150,40,206,Ia-3,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::0001c050a9,0001c050a9,Ho6N5,Ho-N,11,Ho-N,HoN,mp-1001844,2,221,Pm-3m,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::0001c050a9,0001c050a9,Ho6N5,Ho-N,11,Ho-N,HoN,mp-883,2,225,Fm-3m,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::0003d4e1ba,0003d4e1ba,Sc4Zn3Pt,Pt-Sc-Zn,8,Pt-Sc-Zn,Sc2ZnPt,mp-862258,4,225,Fm-3m,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::0003d4e1ba,0003d4e1ba,Sc4Zn3Pt,Pt-Sc-Zn,8,Pt-Sc-Zn,ScZn2Pt,mp-862704,4,225,Fm-3m,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::0003d4e1ba,0003d4e1ba,Sc4Zn3Pt,Pt-Sc-Zn,8,Pt-Sc-Zn,ScZnPt,mp-1077722,6,63,Cmcm,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::0003d4e1ba,0003d4e1ba,Sc4Zn3Pt,Pt-Sc-Zn,8,Pt-Sc-Zn,ScZnPt2,mp-867768,4,225,Fm-3m,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::0005d6281e,0005d6281e,Sc9VTc3,Sc-Tc-V,26,Sc-Tc-V,ScVTc2,mp-1093740,4,71,Immm,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::0008eeb5e9,0008eeb5e9,Dy3(Er3Ru2)7,Dy-Er-Ru,38,Dy-Er-Ru,DyErRu2,mp-1183783,4,225,Fm-3m,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::000ac4e4b5,000ac4e4b5,LaZn7Ag5,Ag-La-Zn,13,Ag-La-Zn,La2ZnAg,mp-973957,4,225,Fm-3m,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
gnome_public_stable_materials::000ac4e4b5,000ac4e4b5,LaZn7Ag5,Ag-La-Zn,13,Ag-La-Zn,LaZn2Ag,mp-1185092,4,225,Fm-3m,False,True,False,False,b_line_gnome_mp_formula_prefilter;mp_current_reference_candidate_search;formula_and_chemsys_only;exact_structure_matching_pending;current_stability_verdicts_not_reported;not_claim_decay_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
