result_id,candidate_result,protocol_family,alpha,K,predeclared,protocol_family_member,completed_artifact,artifact_exists,source_sha256,evidence_completed,evidence_state,allowed_manuscript_role,role_allowed,exact_manuscript_sentence,claim_boundary
materials_alignn_ff_modern_learned_materials_model_alpha0.1_K100,materials fixed-budget alignn_ff_modern_learned_materials_model K=100,materials_frozen_alpha_rho_K_public_label_followup,0.1,100,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,True,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,completed_public_label_utility_evidence,secondary_support,True,,utility under public labels; not prospective discovery
materials_alignn_ff_modern_learned_materials_model_alpha0.1_K300,materials fixed-budget alignn_ff_modern_learned_materials_model K=300,materials_frozen_alpha_rho_K_public_label_followup,0.1,300,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,True,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,completed_public_label_utility_evidence,primary_headline,True,"In materials fixed-budget public-label replay, the ALIGNN-FF K=300 request prevented 64.25 unstable follow-ups on average while keeping the PARC FTR at 0.087.",utility under public labels; not prospective discovery
materials_alignn_ff_modern_learned_materials_model_alpha0.1_K500,materials fixed-budget alignn_ff_modern_learned_materials_model K=500,materials_frozen_alpha_rho_K_public_label_followup,0.1,500,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,True,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,completed_public_label_utility_evidence,primary_headline,True,"In materials fixed-budget public-label replay, the ALIGNN-FF K=500 request prevented 158.30 unstable follow-ups on average while keeping the PARC FTR at 0.048.",utility under public labels; not prospective discovery
materials_alignn_ff_modern_learned_materials_model_alpha0.1_K1000,materials fixed-budget alignn_ff_modern_learned_materials_model K=1000,materials_frozen_alpha_rho_K_public_label_followup,0.1,1000,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,True,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,completed_public_label_utility_evidence,secondary_support,True,,utility under public labels; not prospective discovery
materials_alignn_ff_modern_learned_materials_model_alpha0.1_K5000,materials fixed-budget alignn_ff_modern_learned_materials_model K=5000,materials_frozen_alpha_rho_K_public_label_followup,0.1,5000,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,True,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,completed_public_label_utility_evidence,secondary_support,True,,utility under public labels; not prospective discovery
materials_alignn_ff_modern_learned_materials_model_alpha0.2_K100,materials fixed-budget alignn_ff_modern_learned_materials_model K=100,materials_frozen_alpha_rho_K_public_label_followup,0.2,100,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,True,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,completed_public_label_utility_evidence,secondary_support,True,,utility under public labels; not prospective discovery
materials_alignn_ff_modern_learned_materials_model_alpha0.2_K300,materials fixed-budget alignn_ff_modern_learned_materials_model K=300,materials_frozen_alpha_rho_K_public_label_followup,0.2,300,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,True,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,completed_public_label_utility_evidence,secondary_support,True,,utility under public labels; not prospective discovery
materials_alignn_ff_modern_learned_materials_model_alpha0.2_K500,materials fixed-budget alignn_ff_modern_learned_materials_model K=500,materials_frozen_alpha_rho_K_public_label_followup,0.2,500,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,True,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,completed_public_label_utility_evidence,secondary_support,True,,utility under public labels; not prospective discovery
materials_alignn_ff_modern_learned_materials_model_alpha0.2_K1000,materials fixed-budget alignn_ff_modern_learned_materials_model K=1000,materials_frozen_alpha_rho_K_public_label_followup,0.2,1000,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,True,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,completed_public_label_utility_evidence,secondary_support,True,,utility under public labels; not prospective discovery
materials_alignn_ff_modern_learned_materials_model_alpha0.2_K5000,materials fixed-budget alignn_ff_modern_learned_materials_model K=5000,materials_frozen_alpha_rho_K_public_label_followup,0.2,5000,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,True,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,completed_public_label_utility_evidence,secondary_support,True,,utility under public labels; not prospective discovery
materials_cgcnn_ensemble_learned_materials_model_alpha0.1_K100,materials fixed-budget cgcnn_ensemble_learned_materials_model K=100,materials_frozen_alpha_rho_K_public_label_followup,0.1,100,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,True,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,completed_public_label_utility_evidence,calibration_check,True,,utility under public labels; not prospective discovery
materials_cgcnn_ensemble_learned_materials_model_alpha0.1_K300,materials fixed-budget cgcnn_ensemble_learned_materials_model K=300,materials_frozen_alpha_rho_K_public_label_followup,0.1,300,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,True,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,completed_public_label_utility_evidence,secondary_support,True,,utility under public labels; not prospective discovery
materials_cgcnn_ensemble_learned_materials_model_alpha0.1_K500,materials fixed-budget cgcnn_ensemble_learned_materials_model K=500,materials_frozen_alpha_rho_K_public_label_followup,0.1,500,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,True,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,completed_public_label_utility_evidence,secondary_support,True,,utility under public labels; not prospective discovery
materials_cgcnn_ensemble_learned_materials_model_alpha0.1_K1000,materials fixed-budget cgcnn_ensemble_learned_materials_model K=1000,materials_frozen_alpha_rho_K_public_label_followup,0.1,1000,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,True,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,completed_public_label_utility_evidence,secondary_support,True,,utility under public labels; not prospective discovery
materials_cgcnn_ensemble_learned_materials_model_alpha0.1_K5000,materials fixed-budget cgcnn_ensemble_learned_materials_model K=5000,materials_frozen_alpha_rho_K_public_label_followup,0.1,5000,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,True,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,completed_public_label_utility_evidence,secondary_support,True,,utility under public labels; not prospective discovery
materials_cgcnn_ensemble_learned_materials_model_alpha0.2_K100,materials fixed-budget cgcnn_ensemble_learned_materials_model K=100,materials_frozen_alpha_rho_K_public_label_followup,0.2,100,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,True,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,completed_public_label_utility_evidence,secondary_support,True,,utility under public labels; not prospective discovery
materials_cgcnn_ensemble_learned_materials_model_alpha0.2_K300,materials fixed-budget cgcnn_ensemble_learned_materials_model K=300,materials_frozen_alpha_rho_K_public_label_followup,0.2,300,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,True,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,completed_public_label_utility_evidence,secondary_support,True,,utility under public labels; not prospective discovery
materials_cgcnn_ensemble_learned_materials_model_alpha0.2_K500,materials fixed-budget cgcnn_ensemble_learned_materials_model K=500,materials_frozen_alpha_rho_K_public_label_followup,0.2,500,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,True,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,completed_public_label_utility_evidence,secondary_support,True,,utility under public labels; not prospective discovery
materials_cgcnn_ensemble_learned_materials_model_alpha0.2_K1000,materials fixed-budget cgcnn_ensemble_learned_materials_model K=1000,materials_frozen_alpha_rho_K_public_label_followup,0.2,1000,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,True,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,completed_public_label_utility_evidence,secondary_support,True,,utility under public labels; not prospective discovery
materials_cgcnn_ensemble_learned_materials_model_alpha0.2_K5000,materials fixed-budget cgcnn_ensemble_learned_materials_model K=5000,materials_frozen_alpha_rho_K_public_label_followup,0.2,5000,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,True,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,completed_public_label_utility_evidence,secondary_support,True,,utility under public labels; not prospective discovery
materials_megnet_weak_learned_materials_model_alpha0.1_K100,materials fixed-budget megnet_weak_learned_materials_model K=100,materials_frozen_alpha_rho_K_public_label_followup,0.1,100,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,True,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,completed_public_label_utility_evidence,secondary_support,True,,utility under public labels; not prospective discovery
materials_megnet_weak_learned_materials_model_alpha0.1_K300,materials fixed-budget megnet_weak_learned_materials_model K=300,materials_frozen_alpha_rho_K_public_label_followup,0.1,300,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,True,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,completed_public_label_utility_evidence,secondary_support,True,,utility under public labels; not prospective discovery
materials_megnet_weak_learned_materials_model_alpha0.1_K500,materials fixed-budget megnet_weak_learned_materials_model K=500,materials_frozen_alpha_rho_K_public_label_followup,0.1,500,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,True,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,completed_public_label_utility_evidence,secondary_support,True,,utility under public labels; not prospective discovery
materials_megnet_weak_learned_materials_model_alpha0.1_K1000,materials fixed-budget megnet_weak_learned_materials_model K=1000,materials_frozen_alpha_rho_K_public_label_followup,0.1,1000,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,True,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,completed_public_label_utility_evidence,secondary_support,True,,utility under public labels; not prospective discovery
materials_megnet_weak_learned_materials_model_alpha0.1_K5000,materials fixed-budget megnet_weak_learned_materials_model K=5000,materials_frozen_alpha_rho_K_public_label_followup,0.1,5000,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,True,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,completed_public_label_utility_evidence,secondary_support,True,,utility under public labels; not prospective discovery
materials_megnet_weak_learned_materials_model_alpha0.2_K100,materials fixed-budget megnet_weak_learned_materials_model K=100,materials_frozen_alpha_rho_K_public_label_followup,0.2,100,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,True,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,completed_public_label_utility_evidence,secondary_support,True,,utility under public labels; not prospective discovery
materials_megnet_weak_learned_materials_model_alpha0.2_K300,materials fixed-budget megnet_weak_learned_materials_model K=300,materials_frozen_alpha_rho_K_public_label_followup,0.2,300,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,True,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,completed_public_label_utility_evidence,secondary_support,True,,utility under public labels; not prospective discovery
materials_megnet_weak_learned_materials_model_alpha0.2_K500,materials fixed-budget megnet_weak_learned_materials_model K=500,materials_frozen_alpha_rho_K_public_label_followup,0.2,500,True,True,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,True,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,completed_public_label_utility_evidence,secondary_support,True,,utility under public labels; not prospective discovery
