dataset,video_id,path_id,label,reason,auditor,confidence,review_status_x,verified_positive_for_calibration,label_status,label_source,human_label,human_verified_positive_for_calibration,human_reason,human_confidence,human_auditor,rater_type,review_status_y,paper_use_status,pending_montage_path,prior_basis,prior_true_rate,prior_false_rate,prior_uncertain_rate,review_label,review_verified_positive_for_calibration,review_reason,review_confidence,review_source,user_review_decision,user_review_notes,second_pass_label,second_pass_verified_positive_for_calibration,second_pass_reason,second_pass_confidence,second_pass_action,second_pass_auditor,second_pass_review_status,second_pass_paper_use_status,review_label_v2,review_verified_positive_for_calibration_v2,review_reason_v2,review_confidence_v2,review_source_v2,human_label,human_verified_positive_for_calibration,human_reason,human_confidence,human_review_status,human_auditor,annotation_source,human_review_note,uncertain_selection_rule
OVT-B,40,ovtb_v40_p002441,actually_true,real_unlabeled_object,human_visual_audit_v2,high,reviewed,no,existing_gold,${PARC_TRACK_ROOT}/outputs/phase3_ovtb_full/combined_audit_labels.csv,,,,,,,,,,,,,,actually_true,no,real_unlabeled_object,high,existing_gold,,,,,,,,,,,actually_true,no,real_unlabeled_object,high,existing_gold,actually_true,no,real_unlabeled_object,high,user_confirmed_after_human_assisted_review,user_human_review_v1,human_reviewed_human_assisted_prelabels,user reported audit complete; 40 rows remain uncertain; all others accepted,
OVT-B,651,ovtb_v651_p006756,actually_true,real_unlabeled_object,human_visual_audit_v2,high,reviewed,no,existing_gold,${PARC_TRACK_ROOT}/outputs/phase3_ovtb_full/combined_audit_labels.csv,,,,,,,,,,,,,,actually_true,no,real_unlabeled_object,high,existing_gold,,,,,,,,,,,actually_true,no,real_unlabeled_object,high,existing_gold,actually_true,no,real_unlabeled_object,high,user_confirmed_after_human_assisted_review,user_human_review_v1,human_reviewed_human_assisted_prelabels,user reported audit complete; 40 rows remain uncertain; all others accepted,
OVT-B,40,ovtb_v40_p002410,actually_true,real_unlabeled_object,human_visual_audit_v2,high,reviewed,no,existing_gold,${PARC_TRACK_ROOT}/outputs/phase3_ovtb_full/combined_audit_labels.csv,,,,,,,,,,,,,,actually_true,no,real_unlabeled_object,high,existing_gold,,,,,,,,,,,actually_true,no,real_unlabeled_object,high,existing_gold,actually_true,no,real_unlabeled_object,high,user_confirmed_after_human_assisted_review,user_human_review_v1,human_reviewed_human_assisted_prelabels,user reported audit complete; 40 rows remain uncertain; all others accepted,
OVT-B,62,ovtb_v62_p002745,actually_true,real_unlabeled_object,human_visual_audit_v2,medium,reviewed,no,existing_gold,${PARC_TRACK_ROOT}/outputs/phase3_ovtb_full/combined_audit_labels.csv,,,,,,,,,,,,,,actually_true,no,real_unlabeled_object,medium,existing_gold,,,,,,,,,,,actually_true,no,real_unlabeled_object,medium,existing_gold,actually_true,no,real_unlabeled_object,medium,user_confirmed_after_human_assisted_review,user_human_review_v1,human_reviewed_human_assisted_prelabels,user reported audit complete; 40 rows remain uncertain; all others accepted,
OVT-B,40,ovtb_v40_p002422,actually_true,real_unlabeled_object,human_visual_audit_v2,high,reviewed,no,existing_gold,${PARC_TRACK_ROOT}/outputs/phase3_ovtb_full/combined_audit_labels.csv,,,,,,,,,,,,,,actually_true,no,real_unlabeled_object,high,existing_gold,,,,,,,,,,,actually_true,no,real_unlabeled_object,high,existing_gold,actually_true,no,real_unlabeled_object,high,user_confirmed_after_human_assisted_review,user_human_review_v1,human_reviewed_human_assisted_prelabels,user reported audit complete; 40 rows remain uncertain; all others accepted,
OVT-B,913,ovtb_v913_p008705,actually_true,real_unlabeled_object,human_visual_audit_v2,high,reviewed,no,existing_gold,${PARC_TRACK_ROOT}/outputs/phase3_ovtb_full/combined_audit_labels.csv,,,,,,,,,,,,,,actually_true,no,real_unlabeled_object,high,existing_gold,,,,,,,,,,,actually_true,no,real_unlabeled_object,high,existing_gold,actually_true,no,real_unlabeled_object,high,user_confirmed_after_human_assisted_review,user_human_review_v1,human_reviewed_human_assisted_prelabels,user reported audit complete; 40 rows remain uncertain; all others accepted,
OVT-B,40,ovtb_v40_p002403,actually_true,real_unlabeled_object,human_visual_audit_v2,high,reviewed,no,existing_gold,${PARC_TRACK_ROOT}/outputs/phase3_ovtb_full/combined_audit_labels.csv,,,,,,,,,,,,,,actually_true,no,real_unlabeled_object,high,existing_gold,,,,,,,,,,,actually_true,no,real_unlabeled_object,high,existing_gold,actually_true,no,real_unlabeled_object,high,user_confirmed_after_human_assisted_review,user_human_review_v1,human_reviewed_human_assisted_prelabels,user reported audit complete; 40 rows remain uncertain; all others accepted,
OVT-B,40,ovtb_v40_p002428,actually_true,real_unlabeled_object,human_visual_audit_v2,medium,reviewed,no,existing_gold,${PARC_TRACK_ROOT}/outputs/phase3_ovtb_full/combined_audit_labels.csv,,,,,,,,,,,,,,actually_true,no,real_unlabeled_object,medium,existing_gold,,,,,,,,,,,actually_true,no,real_unlabeled_object,medium,existing_gold,actually_true,no,real_unlabeled_object,medium,user_confirmed_after_human_assisted_review,user_human_review_v1,human_reviewed_human_assisted_prelabels,user reported audit complete; 40 rows remain uncertain; all others accepted,
OVT-B,106,ovtb_v106_p003013,,,,,,no,requires_label,,actually_true,no,metadata_prior_real_object_candidate,medium,human_model_assisted_audit_expansion_v1,model_assisted_metadata_prior_with_generated_montage,requires_user_review,prelabel_only_not_gold_until_user_review,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v106_p003013.jpg,dataset_prior,0.828,0.192,0.02,actually_true,no,metadata_prior_real_object_candidate,medium,human_model_assisted_pending_prelabel,,,actually_true,no,metadata_prior_real_object_candidate,medium,unchanged_non_uncertain,human_uncertain_reduction_v1,requires_user_review,prelabel_only_not_gold_until_user_review,actually_true,no,metadata_prior_real_object_candidate,medium,human_second_pass_uncertain_reduction_prelabel,actually_true,no,metadata_prior_real_object_candidate,medium,user_confirmed_after_human_assisted_review,user_human_review_v1,human_reviewed_human_assisted_prelabels,user reported audit complete; 40 rows remain uncertain; all others accepted,
OVT-B,40,ovtb_v40_p002423,actually_true,real_unlabeled_object,human_visual_audit_v2,high,reviewed,no,existing_gold,${PARC_TRACK_ROOT}/outputs/phase3_ovtb_full/combined_audit_labels.csv,,,,,,,,,,,,,,actually_true,no,real_unlabeled_object,high,existing_gold,,,,,,,,,,,actually_true,no,real_unlabeled_object,high,existing_gold,actually_true,no,real_unlabeled_object,high,user_confirmed_after_human_assisted_review,user_human_review_v1,human_reviewed_human_assisted_prelabels,user reported audit complete; 40 rows remain uncertain; all others accepted,
OVT-B,682,ovtb_v682_p007019,uncertain,thin_object_partial_box,human_visual_audit_v2,medium,reviewed,no,existing_gold,${PARC_TRACK_ROOT}/outputs/phase3_ovtb_full/combined_audit_labels.csv,,,,,,,,,,,,,,uncertain,no,thin_object_partial_box,medium,existing_gold,,,,,,,,,,,uncertain,no,thin_object_partial_box,medium,existing_gold,uncertain,no,thin_object_partial_box,medium,user_confirmed_after_human_assisted_review,user_human_review_v1,human_reviewed_human_assisted_prelabels,user reported audit complete; 40 rows remain uncertain; all others accepted,final_40_uncertain_after_user_review
