dataset,video_id,path_id,label,reason,auditor,confidence,review_status,verified_positive_for_calibration
OVT-B,40,ovtb_v40_p002441,actually_true,real_unlabeled_object,codex_visual_audit_v2,high,reviewed,no
OVT-B,651,ovtb_v651_p006756,actually_true,real_unlabeled_object,codex_visual_audit_v2,high,reviewed,no
OVT-B,40,ovtb_v40_p002410,actually_true,real_unlabeled_object,codex_visual_audit_v2,high,reviewed,no
OVT-B,62,ovtb_v62_p002745,actually_true,real_unlabeled_object,codex_visual_audit_v2,medium,reviewed,no
OVT-B,40,ovtb_v40_p002422,actually_true,real_unlabeled_object,codex_visual_audit_v2,high,reviewed,no
OVT-B,913,ovtb_v913_p008705,actually_true,real_unlabeled_object,codex_visual_audit_v2,high,reviewed,no
OVT-B,40,ovtb_v40_p002403,actually_true,real_unlabeled_object,codex_visual_audit_v2,high,reviewed,no
OVT-B,40,ovtb_v40_p002428,actually_true,real_unlabeled_object,codex_visual_audit_v2,medium,reviewed,no
OVT-B,40,ovtb_v40_p002423,actually_true,real_unlabeled_object,codex_visual_audit_v2,high,reviewed,no
OVT-B,682,ovtb_v682_p007019,uncertain,thin_object_partial_box,codex_visual_audit_v2,medium,reviewed,no
