dataset,video_id,path_id,query,category_id,score,objectness,semantic_margin,temporal_stability,association_score,matched_gt_id,matched_iou,temporal_overlap,is_unmatched,cell_id,novelty_bin,query_cluster,occ_bin,domain_bin,frame_start,frame_end,clip_path,montage_path
OVT-B,913,ovtb_v913_p008705,sphygmomanometer,864,0.8533087149262428,0.8533087149262428,0.8533087149262428,8,0.875,7043,0.23114425067119837,0.0,True,cat:864,unknown,sphygmomanometer,unknown,global,0,44,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v913_p008705.jpg
OVT-B,458,ovtb_v458_p005350,sphygmomanometer,864,0.4374558553099632,0.4374558553099632,0.4374558553099632,8,0.875,4063,0.961080949560058,0.25,True,cat:864,unknown,sphygmomanometer,unknown,global,0,39,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v458_p005350.jpg
OVT-B,682,ovtb_v682_p007019,golf club,419,0.828989565372467,0.828989565372467,0.828989565372467,2,0.5,5597,0.45904497433580577,0.0,True,cat:419,unknown,golf club,unknown,global,2,3,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v682_p007019.jpg
OVT-B,40,ovtb_v40_p002411,bee,73,0.8190702497959137,0.8190702497959137,0.8190702497959137,4,0.75,1561,0.4816575507847451,0.0,True,cat:73,unknown,bee,unknown,global,35,176,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v40_p002411.jpg
OVT-B,40,ovtb_v40_p002405,bee,73,0.8176585833231608,0.8176585833231608,0.8176585833231608,3,0.6666666666666666,1543,0.3971491862860921,0.0,True,cat:73,unknown,bee,unknown,global,0,211,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v40_p002405.jpg
OVT-B,40,ovtb_v40_p002432,bee,73,0.6873760521411896,0.6873760521411896,0.6873760521411896,2,0.5,1640,0.24269935835491918,0.0,True,cat:73,unknown,bee,unknown,global,176,246,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v40_p002432.jpg
OVT-B,37,ovtb_v37_p002226,bee,73,0.5050300173461437,0.5050300173461437,0.5050300173461437,8,0.875,1430,0.012862723176508868,0.0,True,cat:73,unknown,bee,unknown,global,0,109,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v37_p002226.jpg
OVT-B,259,ovtb_v259_p003991,passenger ship,654,0.8149864673614502,0.8149864673614502,0.8149864673614502,3,0.6666666666666666,,0.0,0.0,True,cat:654,unknown,passenger ship,unknown,global,14,19,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v259_p003991.jpg
OVT-B,285,ovtb_v285_p004166,person,669,0.7898414209485054,0.7898414209485054,0.7898414209485054,8,0.875,3035,0.9470262779430022,0.25,True,cat:669,unknown,person,unknown,global,0,23,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v285_p004166.jpg
OVT-B,968,ovtb_v968_p009129,person,669,0.7778529167175293,0.7778529167175293,0.7778529167175293,5,0.8,7404,0.3136312288959117,0.0,True,cat:669,unknown,person,unknown,global,2,10,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v968_p009129.jpg
OVT-B,538,ovtb_v538_p005898,person,669,0.7741520881652832,0.7741520881652832,0.7741520881652832,5,0.8,4592,0.43380377427260797,0.0,True,cat:669,unknown,person,unknown,global,0,24,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v538_p005898.jpg
OVT-B,910,ovtb_v910_p008683,person,669,0.7723280414938927,0.7723280414938927,0.7723280414938927,8,0.875,7015,0.2986403197721066,0.0,True,cat:669,unknown,person,unknown,global,0,19,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v910_p008683.jpg
OVT-B,130,ovtb_v130_p003147,person,669,0.766586646437645,0.766586646437645,0.766586646437645,8,0.875,2081,0.3809854001956855,0.0,True,cat:669,unknown,person,unknown,global,0,24,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v130_p003147.jpg
OVT-B,968,ovtb_v968_p009127,person,669,0.7615498974919319,0.7615498974919319,0.7615498974919319,8,0.875,7404,0.9876664065610599,0.25,True,cat:669,unknown,person,unknown,global,0,14,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v968_p009127.jpg
OVT-B,366,ovtb_v366_p004722,person,669,0.7412320598959923,0.7412320598959923,0.7412320598959923,8,0.875,3548,0.3292335841286367,0.0,True,cat:669,unknown,person,unknown,global,0,23,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v366_p004722.jpg
OVT-B,130,ovtb_v130_p003148,person,669,0.7361220195889473,0.7361220195889473,0.7361220195889473,8,0.875,2081,0.30774410356994353,0.0,True,cat:669,unknown,person,unknown,global,0,24,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v130_p003148.jpg
OVT-B,994,ovtb_v994_p009306,person,669,0.7215763479471207,0.7215763479471207,0.7215763479471207,8,0.875,7592,0.3533645850714036,0.0,True,cat:669,unknown,person,unknown,global,0,14,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v994_p009306.jpg
OVT-B,995,ovtb_v995_p009313,person,669,0.6870528970445905,0.6870528970445905,0.6870528970445905,7,0.8571428571428571,7595,0.6479450181607261,0.2857142857142857,True,cat:669,unknown,person,unknown,global,0,24,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v995_p009313.jpg
OVT-B,144,ovtb_v144_p003247,pendulum,666,0.7847317308187485,0.7847317308187485,0.7847317308187485,8,0.875,2169,0.01627368098768633,0.0,True,cat:666,unknown,pendulum,unknown,global,0,24,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v144_p003247.jpg
OVT-B,461,ovtb_v461_p005372,pendulum,666,0.5255542621016502,0.5255542621016502,0.5255542621016502,8,0.875,4088,0.010798175134780786,0.0,True,cat:666,unknown,pendulum,unknown,global,0,24,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v461_p005372.jpg
OVT-B,601,ovtb_v601_p006384,cymbal,268,0.7710570469498634,0.7710570469498634,0.7710570469498634,8,0.875,5094,0.1726524621722573,0.0,True,cat:268,unknown,cymbal,unknown,global,0,19,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v601_p006384.jpg
OVT-B,601,ovtb_v601_p006385,cymbal,268,0.7259830832481384,0.7259830832481384,0.7259830832481384,8,0.875,5094,0.06627715413698158,0.0,True,cat:268,unknown,cymbal,unknown,global,0,19,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v601_p006385.jpg
OVT-B,601,ovtb_v601_p006386,cymbal,268,0.7076181545853615,0.7076181545853615,0.7076181545853615,8,0.875,5097,0.3928328923459032,0.0,True,cat:268,unknown,cymbal,unknown,global,0,19,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v601_p006386.jpg
OVT-B,601,ovtb_v601_p006387,cymbal,268,0.6738951206207275,0.6738951206207275,0.6738951206207275,8,0.875,5095,0.29455637984217037,0.0,True,cat:268,unknown,cymbal,unknown,global,0,19,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v601_p006387.jpg
OVT-B,601,ovtb_v601_p006388,cymbal,268,0.3575068898499012,0.3575068898499012,0.3575068898499012,8,0.875,5095,0.1573134566393192,0.0,True,cat:268,unknown,cymbal,unknown,global,0,19,,/home/waas/paper_experiments/outputs/phase2_1000/audit_viewer/montages/ovtb_v601_p006388.jpg
