domain,row,block_definition,num_blocks,empty_block_rate,coverage,max_observed_e,required_e,best_mass_ratio,non_empty_seeds,held_out_or_human_FTR,block_sensitivity_result,interpretation
CTC learned-hybrid,frame-pair blocks rho=0.10 alpha=0.10 K=100,ctc_dataset x sequence x adjacent frame pair,frame-pair held-out blocks,,top-score observed positives; held-out full GT only for FTR,13.378011298600208,10.0,1.337801129860021,20,0.0,release_with_fine_blocks,fine blocks provide enough e-value resolution for learned-source release
CTC learned-hybrid,frame-pair blocks rho=0.10 alpha=0.10 K=300,ctc_dataset x sequence x adjacent frame pair,frame-pair held-out blocks,,top-score observed positives; held-out full GT only for FTR,13.378011298600208,10.0,1.3378011298600212,20,0.0,release_with_fine_blocks,fine blocks provide enough e-value resolution for learned-source release
CTC learned-hybrid,frame-pair blocks rho=0.10 alpha=0.20 K=100,ctc_dataset x sequence x adjacent frame pair,frame-pair held-out blocks,,top-score observed positives; held-out full GT only for FTR,13.378011298600208,5.0,2.675602259720041,20,0.0,release_with_fine_blocks,fine blocks provide enough e-value resolution for learned-source release
CTC learned-hybrid,frame-pair blocks rho=0.10 alpha=0.20 K=300,ctc_dataset x sequence x adjacent frame pair,frame-pair held-out blocks,,top-score observed positives; held-out full GT only for FTR,13.378011298600208,5.0,2.6756022597200424,20,0.0,release_with_fine_blocks,fine blocks provide enough e-value resolution for learned-source release
CTC learned-hybrid,five-frame blocks rho=0.10 alpha=0.20 K=100,ctc_dataset x sequence x five-frame window,coarser held-out blocks,,same frozen learned scores; coarser calibration blocks,3.989064383886801,5.0,0.7978128767773605,0,0.0,refusal_resolution_below_required_emax,coarser blocks reduce resolution and refuse despite clean top-ranked links
CTC learned-hybrid,five-frame blocks rho=0.10 alpha=0.20 K=300,ctc_dataset x sequence x five-frame window,coarser held-out blocks,,same frozen learned scores; coarser calibration blocks,3.989064383886801,5.0,0.7978128767773605,0,0.0,refusal_resolution_below_required_emax,coarser blocks reduce resolution and refuse despite clean top-ranked links
CTC geometry,unsafe high-volume request alpha=0.20 K=5000,ctc_dataset x sequence x five-frame window,,,masked official-label partial verification,6.651292527987276,5.0,1.0,0,0.0,certified_refusal,PARC refuses K=5000 while raw top-M FTR=0.3606
SpaceNet7 real audit,human-audit primary alpha=0.20 K=100,AOI x temporal window,72,,138 blocks with verified positives,6.061336876907763,5.0,0.6352281046999336,0,,human_audit_certified_refusal,"real audit workflow runs, but K=100 is not licensed by human verified positives"
SpaceNet7 real audit,human-confirmed diagnostic alpha=0.20 K=50,AOI x temporal window,,,147 release candidates audited,,5.0,1.1552908087386202,18,0.0,human_confirmed_diagnostic_release,diagnostic low-volume release passes human-audit gate; not the primary K=100 row
iWildCam animal-present,animal-present alpha=0.10 K=150,camera-location/image-level support blocks,15.0,0.1066666666666666,image-level animal-presence support,1.9858425783515667,10.0,0.1985842578351566,0,,certified_refusal_resolution_boundary,coarse animal-present prompt restores semantic target but evidence resolution remains below alpha=0.10 requirement
