audit_item_id,packet,strong_model_id,strong_model_label,strong_model_confidence,strong_model_support_score,model_reason,image_pair_available,source_image_sha256,target_image_sha256,center_distance_px,normalized_distance,bbox_area_ratio,crop_ncc,template_best_ncc,template_pred_target_distance_px,source_center_segmented,target_center_segmented,frame_gap,evidence_scope
CTC-PHASE81-0003,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,uncertain,medium,0.702111,mixed image-template and geometry evidence; route to human adjudication if used evidentially,True,c8faa9c0992895499a47d27d214c462273d49a11cbdec83264ac94c4d95522b4,a913b9dfa94ced14e3ce037c2153a29b563c8a1b323ce44bed897c10b94c50b7,3.0,0.707107,1.0,0.91465,0.885868,13.892444,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0006,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,high,0.925058,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",True,8b93a25d86bbbce9935d38fade68a2fc726ef0db9820ce94cc3d9cc03fd3a665,0bf9db390717ab1951c4f88ed6fb48350a615a7838d10b9dcc1ddffb183123d4,0.0,0.0,1.0,0.895749,0.966773,3.0,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0011,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,uncertain,medium,0.638921,mixed image-template and geometry evidence; route to human adjudication if used evidentially,True,00426fe171bf744ab2c87db324a238d523ff652a65ceca698292c19cf49b6f7c,50395de5a5cca494e7e9539a3c5cd83ca3c6e6e9a80f0f61ea7f1cdae20e0919,0.0,0.0,1.0,0.067333,0.188892,75.960516,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0012,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,medium,0.798836,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",True,211ef7bd4fda450dc15238f94ff7b178847e30f57496fe36f85da3bb5e672c4d,c750fa9a179128b9e5dd15588f4419754865a6704972ab206e6d94b12cc70930,5.0,0.392837,1.0,0.6664,0.524873,3.162278,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0014,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,high,0.900717,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",True,99b46d32e16dceced18f28a7156e1f7d5cabea6573ef118c03b98eb6341605ec,1377df1cb03f9de0e3e5bb7cd2258af99dc622225294a6ff0c7c36f3091719b7,0.0,0.0,1.0,0.824407,0.906309,3.605551,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0020,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,uncertain,medium,0.594045,mixed image-template and geometry evidence; route to human adjudication if used evidentially,True,842192fc3f4cb65e08ba665209385d2d1b2cffb9319ad80a197725b3f345fcdf,3a9b52629b75093602e6b61fd22d548c0b6487b871c1f6085f81aac44766e989,8.944272,0.702728,1.0,0.333923,0.514726,38.275318,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0025,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,medium,0.772651,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",True,5f048cc0008c1cb79f956384ce904b49148baebd66cf61f6f67da035bf221e38,993a9b7e3bd831bed9bc0f8baccd64c08d066fba90a06d5e71bfbd1684ac0ce6,2.692582,0.049725,0.880952,0.692361,0.838079,116.00431,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0028,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,high,0.942708,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",True,a0ae50aa44a82226b0517663a849ad6e969a23bcfea29269cd5db1ee86e3077c,43094134a376a07809b911db192f2674dba46dd9ca800feb5aad040f0a289fb9,1.0,0.01274,0.964912,0.757682,0.844132,2.236068,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0034,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,high,0.906087,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",True,f29e615ad9997974fe5c7144b8b437ed3aab9007e80d1f945c533956d4350b50,5f27d6c1cd9f9d78600a2aa969f934b07a7efe9c79370194a73037530b59a5be,1.5,0.027022,0.975,0.720978,0.62387,3.605551,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0040,calibration_audit,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,high,0.881581,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",True,8db93fce19962c81fd7d9bdeea0cb3fc2b950e2811d96a9fb444d67c93a781c1,5d9520dd41db11c7a733be49f8e7fe29cb88aa4646e16e2146903b94cfdb7161,0.0,0.0,1.0,0.769343,0.969124,5.09902,True,True,1,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
