dataset,task,source,policy,alpha1,rows,released_mean,released_sum,UTR_mean,audited_FTR_mean,conservative_FTR_mean,mass_ratio_mean,empty_reason_examples,has_alpha_control,release_decision,source_table
LVVIS,open_vocabulary_visual_release,GroundingDINO,score_threshold,0.1,3,150.0,450.0,0.011111111111111066,,0.011111111111111066,,,False,release,lvvis_certification/table_baseline_expanded.csv
LVVIS,open_vocabulary_visual_release,GroundingDINO,score_threshold,0.2,3,150.0,450.0,0.011111111111111066,,0.011111111111111066,,,False,release,lvvis_certification/table_baseline_expanded.csv
LVVIS,open_vocabulary_visual_release,GroundingDINO,topM_no_risk,0.1,3,150.0,450.0,0.011111111111111066,,0.011111111111111066,,,False,release,lvvis_certification/table_baseline_expanded.csv
LVVIS,open_vocabulary_visual_release,GroundingDINO,topM_no_risk,0.2,3,150.0,450.0,0.011111111111111066,,0.011111111111111066,,,False,release,lvvis_certification/table_baseline_expanded.csv
LVVIS,open_vocabulary_visual_release,GroundingDINO,PARC_no_audit_variant,0.1,3,150.0,450.0,0.011111111111111066,,0.011111111111111066,,,True,release,lvvis_certification/table_baseline_expanded.csv
LVVIS,open_vocabulary_visual_release,GroundingDINO,PARC_no_audit_variant,0.2,3,150.0,450.0,0.011111111111111066,,0.011111111111111066,,,True,release,lvvis_certification/table_baseline_expanded.csv
LVVIS,open_vocabulary_visual_release,GroundingDINO,PARC_certified_release,0.1,3,150.0,450.0,0.011111111111111066,,0.011111111111111066,,,True,release,lvvis_certification/table_baseline_expanded.csv
LVVIS,open_vocabulary_visual_release,GroundingDINO,PARC_certified_release,0.2,3,150.0,450.0,0.011111111111111066,,0.011111111111111066,,,True,release,lvvis_certification/table_baseline_expanded.csv
LVVIS,open_vocabulary_visual_release,GroundingDINO,post_filter_e_bh,0.1,3,150.0,450.0,0.011111111111111066,,0.011111111111111066,,,False,release,lvvis_certification/table_baseline_expanded.csv
LVVIS,open_vocabulary_visual_release,GroundingDINO,post_filter_e_bh,0.2,3,150.0,450.0,0.011111111111111066,,0.011111111111111066,,,False,release,lvvis_certification/table_baseline_expanded.csv
LVVIS,open_vocabulary_visual_release,GroundingDINO,tracklet_e_bh,0.1,3,150.0,450.0,0.011111111111111066,,0.011111111111111066,,,False,release,lvvis_certification/table_baseline_expanded.csv
LVVIS,open_vocabulary_visual_release,GroundingDINO,tracklet_e_bh,0.2,3,150.0,450.0,0.011111111111111066,,0.011111111111111066,,,False,release,lvvis_certification/table_baseline_expanded.csv
LVVIS,open_vocabulary_visual_release,GroundingDINO,tracklet_p_bh,0.1,3,150.0,450.0,0.011111111111111066,,0.011111111111111066,,,False,release,lvvis_certification/table_baseline_expanded.csv
LVVIS,open_vocabulary_visual_release,GroundingDINO,tracklet_p_bh,0.2,3,150.0,450.0,0.011111111111111066,,0.011111111111111066,,,False,release,lvvis_certification/table_baseline_expanded.csv
LVVIS,open_vocabulary_visual_release,GroundingDINO,wrong_negative_certified_baseline,0.1,3,50.0,150.0,0.006666666666666667,,0.02,,no_k_satisfies_uniform_self_consistency,True,release,lvvis_certification/table_baseline_expanded.csv
LVVIS,open_vocabulary_visual_release,GroundingDINO,wrong_negative_certified_baseline,0.2,3,150.0,450.0,0.011111111111111066,,0.011111111111111066,,,True,release,lvvis_certification/table_baseline_expanded.csv
ovtb,published_tracker_output,ovtb_baseline,PARC_certified_wrapper,0.1,3,0.0,0.0,0.0,,,0.22559195006063493,no_k_satisfies_uniform_self_consistency,True,refusal,reliability_fortress/table_published_tracker_certification.csv
ovtb,published_tracker_output,ovtb_baseline,PARC_certified_wrapper,0.2,3,0.0,0.0,0.0,,,0.45118390012126985,no_k_satisfies_uniform_self_consistency,True,refusal,reliability_fortress/table_published_tracker_certification.csv
ovtb,published_tracker_output,ovtb_baseline,raw_tracker_topM,0.1,3,150.0,450.0,0.3933333333333333,,0.3933333333333333,,,False,release,reliability_fortress/table_published_tracker_certification.csv
ovtb,published_tracker_output,ovtb_baseline,raw_tracker_topM,0.2,3,150.0,450.0,0.3933333333333333,,0.3933333333333333,,,False,release,reliability_fortress/table_published_tracker_certification.csv
tao,published_tracker_output,ovtb_baseline,PARC_certified_wrapper,0.1,3,0.0,0.0,0.0,,,0.0885361399308547,no_k_satisfies_uniform_self_consistency,True,refusal,reliability_fortress/table_published_tracker_certification.csv
tao,published_tracker_output,ovtb_baseline,PARC_certified_wrapper,0.2,3,0.0,0.0,0.0,,,0.17707227986170948,no_k_satisfies_uniform_self_consistency,True,refusal,reliability_fortress/table_published_tracker_certification.csv
tao,published_tracker_output,ovtb_baseline,raw_tracker_topM,0.1,3,150.0,450.0,1.0,,1.0,,,False,release,reliability_fortress/table_published_tracker_certification.csv
tao,published_tracker_output,ovtb_baseline,raw_tracker_topM,0.2,3,150.0,450.0,1.0,,1.0,,,False,release,reliability_fortress/table_published_tracker_certification.csv
ovtb,published_tracker_output,ovtr,PARC_certified_wrapper,0.1,3,0.0,0.0,0.0,,,0.329716383121129,no_k_satisfies_uniform_self_consistency,True,refusal,reliability_fortress/table_published_tracker_certification.csv
