dataset,video_id,path_id,split,query,category_id,score,objectness,semantic_margin,temporal_stability,association_score,frame_start,frame_end,path_length,candidate_rank,is_dummy,matched_gt_id,matched_iou,temporal_overlap,matched_frames,is_matched_to_gt,is_unmatched,audit_label,verified_positive_for_calibration,cell_id,novelty_bin,query_cluster,occ_bin,domain_bin,fallback_level,score_source
OVT-B,98,ovtb_v98_p002960,cal,bear,70,0.9511613079479764,0.9511613079479764,0.9511613079479764,7,0.8571428571428571,0,549,7,1,False,1928.0,0.9818936057291106,0.8571428571428571,6,True,False,,no,cat:70,unknown,bear,unknown,global,0,final_score_proxy
OVT-B,800,ovtb_v800_p007869,test,woodpecker,1043,0.9352500587701796,0.9352500587701796,0.9352500587701796,8,0.875,0,13,8,2,False,6330.0,0.9497703196581287,1.0,8,True,False,,no,cat:1043,unknown,woodpecker,unknown,global,0,final_score_proxy
OVT-B,1704,ovtb_v1704_p014280,test,golf ball,418,0.9328840151429176,0.9328840151429176,0.9328840151429176,8,0.875,0,11,8,3,False,11868.0,0.9906744183912222,1.0,8,True,False,,no,cat:418,unknown,golf ball,unknown,global,0,final_score_proxy
OVT-B,684,ovtb_v684_p007028,cal,minivan,590,0.929937519133091,0.929937519133091,0.929937519133091,8,0.875,0,14,8,4,False,5611.0,0.9417751629261734,1.0,8,True,False,,no,cat:590,unknown,minivan,unknown,global,0,final_score_proxy
OVT-B,99,ovtb_v99_p002961,cal,bear,70,0.923191785812378,0.923191785812378,0.923191785812378,3,0.6666666666666666,0,471,3,5,False,1931.0,0.9629699693240148,1.0,3,True,False,,no,cat:70,unknown,bear,unknown,global,0,final_score_proxy
OVT-B,1087,ovtb_v1087_p009984,cal,person,669,0.9226589351892472,0.9226589351892472,0.9226589351892472,8,0.875,0,11,8,6,False,8173.0,0.9950954702545952,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,342,ovtb_v342_p004578,test,sunglasses,900,0.9200984239578248,0.9200984239578248,0.9200984239578248,1,0.0,2,2,1,7,False,3408.0,0.574585470127893,1.0,1,True,False,,no,cat:900,unknown,sunglasses,unknown,global,0,final_score_proxy
OVT-B,353,ovtb_v353_p004656,test,person,669,0.9158765375614166,0.9158765375614166,0.9158765375614166,8,0.875,0,24,8,8,False,3494.0,0.9893814428124678,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,1968,ovtb_v1968_p016727,cal,person,669,0.9146773020426432,0.9146773020426432,0.9146773020426432,3,0.6666666666666666,0,24,3,9,False,13662.0,0.9678566631286862,1.0,3,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,179,ovtb_v179_p003418,test,person,669,0.914346732199192,0.914346732199192,0.914346732199192,8,0.875,0,24,8,10,False,2326.0,0.9827774324694548,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,1157,ovtb_v1157_p010517,tune,spectacles,862,0.9139397442340852,0.9139397442340852,0.9139397442340852,8,0.875,0,14,8,11,False,8632.0,0.9161441618682472,1.0,8,True,False,,no,cat:862,unknown,spectacles,unknown,global,0,final_score_proxy
OVT-B,886,ovtb_v886_p008547,test,person,669,0.9131759256124496,0.9131759256124496,0.9131759256124496,8,0.875,0,19,8,12,False,6861.0,0.9869578147835992,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,1082,ovtb_v1082_p009958,tune,person,669,0.912533052265644,0.912533052265644,0.912533052265644,8,0.875,0,32,8,13,False,8147.0,0.985087904584272,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,342,ovtb_v342_p004577,test,sunglasses,900,0.9124293753079006,0.9124293753079006,0.9124293753079006,7,0.8571428571428571,0,15,7,14,False,3408.0,0.8303446491049626,1.0,7,True,False,,no,cat:900,unknown,sunglasses,unknown,global,0,final_score_proxy
OVT-B,741,ovtb_v741_p007374,test,person,669,0.9116467237472534,0.9116467237472534,0.9116467237472534,8,0.875,0,19,8,15,False,5936.0,0.9847315655296656,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,941,ovtb_v941_p008967,test,person,669,0.9109683707356452,0.9109683707356452,0.9109683707356452,8,0.875,0,14,8,16,False,7210.0,0.9756590046075444,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,609,ovtb_v609_p006445,test,person,669,0.9103922843933104,0.9103922843933104,0.9103922843933104,8,0.875,0,18,8,17,False,5152.0,0.9904250104187756,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,1278,ovtb_v1278_p011417,test,golf ball,418,0.910183385014534,0.910183385014534,0.910183385014534,8,0.875,0,14,8,18,False,9410.0,0.9846569707007518,1.0,8,True,False,,no,cat:418,unknown,golf ball,unknown,global,0,final_score_proxy
OVT-B,211,ovtb_v211_p003574,cal,person,669,0.909587986767292,0.909587986767292,0.909587986767292,8,0.875,0,18,8,19,False,2473.0,0.9877007737224712,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,678,ovtb_v678_p006986,cal,person,669,0.9091987950461252,0.9091987950461252,0.9091987950461252,7,0.8571428571428571,3,19,7,20,False,5576.0,0.9950685196671324,1.0,7,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,684,ovtb_v684_p007027,cal,dirt bike,284,0.9090235754847528,0.9090235754847528,0.9090235754847528,8,0.875,0,14,8,21,False,5610.0,0.9340801582764432,1.0,8,True,False,,no,cat:284,unknown,dirt bike,unknown,global,0,final_score_proxy
OVT-B,1897,ovtb_v1897_p015623,cal,person,669,0.9081220030784608,0.9081220030784608,0.9081220030784608,1,0.0,380,380,1,22,False,13051.0,0.9550466296408062,1.0,1,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,464,ovtb_v464_p005387,test,person,669,0.9078978821635246,0.9078978821635246,0.9078978821635246,8,0.875,0,24,8,23,False,4131.0,0.9941939988038686,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,515,ovtb_v515_p005710,test,person,669,0.9074325188994408,0.9074325188994408,0.9074325188994408,8,0.875,0,24,8,24,False,4431.0,0.988927631143295,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,1100,ovtb_v1100_p010114,test,doughnut,299,0.9073417683442434,0.9073417683442434,0.9073417683442434,6,0.8333333333333334,3,9,6,25,False,8290.0,0.9850835810821744,1.0,6,True,False,,no,cat:299,unknown,doughnut,unknown,global,0,final_score_proxy
OVT-B,885,ovtb_v885_p008539,cal,person,669,0.9071784615516664,0.9071784615516664,0.9071784615516664,8,0.875,0,20,8,26,False,6849.0,0.9840400057611705,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,827,ovtb_v827_p008080,test,coffee maker,231,0.9069922417402267,0.9069922417402267,0.9069922417402267,8,0.875,0,11,8,27,False,6459.0,0.957293816002362,1.0,8,True,False,,no,cat:231,unknown,coffee maker,unknown,global,0,final_score_proxy
OVT-B,957,ovtb_v957_p009062,cal,person,669,0.90677659958601,0.90677659958601,0.90677659958601,8,0.875,0,28,8,28,False,7309.0,0.9907083898232074,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,1972,ovtb_v1972_p016776,cal,dog,290,0.9065597653388976,0.9065597653388976,0.9065597653388976,2,0.5,0,4,2,29,False,13678.0,0.9242759736036154,1.0,2,True,False,,no,cat:290,unknown,dog,unknown,global,0,final_score_proxy
OVT-B,541,ovtb_v541_p005914,test,person,669,0.9063800945878028,0.9063800945878028,0.9063800945878028,8,0.875,0,16,8,30,False,4612.0,0.9842782236872656,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,1458,ovtb_v1458_p012601,tune,person,669,0.9055365025997162,0.9055365025997162,0.9055365025997162,8,0.875,0,14,8,31,False,10436.0,0.9867353225233592,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,1400,ovtb_v1400_p012231,test,person,669,0.9049043729901314,0.9049043729901314,0.9049043729901314,8,0.875,0,14,8,32,False,10109.0,0.9823782055222738,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,682,ovtb_v682_p007017,cal,person,669,0.904645711183548,0.904645711183548,0.904645711183548,8,0.875,0,11,8,33,False,5596.0,0.9835513601918008,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,1968,ovtb_v1968_p016730,cal,person,669,0.9040079414844512,0.9040079414844512,0.9040079414844512,2,0.5,7,17,2,34,False,13664.0,0.9793533888434324,1.0,2,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,99,ovtb_v99_p002963,cal,bear,70,0.903484433889389,0.903484433889389,0.903484433889389,2,0.5,157,235,2,35,False,1930.0,0.9199245483759338,1.0,2,True,False,,no,cat:70,unknown,bear,unknown,global,0,final_score_proxy
OVT-B,1074,ovtb_v1074_p009913,test,spectacles,862,0.9031031131744384,0.9031031131744384,0.9031031131744384,8,0.875,0,19,8,36,False,8098.0,0.962674796259907,1.0,8,True,False,,no,cat:862,unknown,spectacles,unknown,global,0,final_score_proxy
